en,ar,pos
Show me., أرني.,sent
you (p), أنتم,np
yesterday, البارحة,np
today, اليوم,np
After *., بعد *.,vp
waist, خصر,np
salad, سلطة,np
telephone, هاتف,np
* month(s),*  أشهر,prt
* week(s),‏* أسبوع,prt
* day(s),‏* أيام,prt
* minute(s),‏* دقائق,prt
* hour(s),‏* ساعات,prt
* year(s),‏* سنوات,prt
* is not working.,* لا يعمل,vp
August,آب‎\ أغسطس,np
March,آذار‎ / مارس,np
ears,آذان,np
I need to see your passport.,أ حتاج أن أرى جواز سفرك,sent
I'm looking for *.,أبحث عن *.,vp
white,أبيض,adj
I need a doctor.,أحتاج طبيب.,sent
I need your help.,أحتاج مساعدة لو سمحت.,sent
red,أحمر,adj
green,أخضر,adj
See you later.,أراك لاحقاً.,sent
4,أربعة,num
14,أربعة عشر,num
40,أربعون,num
legs,أرجل,np
Please come with me.,أرجوك، تعال/تعالي معي.,sent
cheaper,أرخص,adj
rice,أرز,np
fried rice,أرز مقلي,np
I want *.,أريد *.,vp
I want a dish with *.,أريد أن آكل طبق مع *.,vp
I want to check out.,أريد أن أدفع لاغادر.,sent
I need to talk to a lawyer.,أريد التحدث مع محامي,sent
I want to rent a car.,أريد ايجار سيارة.,sent
I'd like to rent a car.,أريد ايجار سيارة.,sent
blue,أزرق,adj
black,أسود,adj
It hurts here.,أشعر بالألم هنا.,sent
fingers,أصابع,np
toes,أصابع القدم,np
yellow,أصفر,adj
nails,"أظافر (fingernails), مسامير (hammering nails) ",np
Excuse me. (begging pardon),أعذرني,sent
I work at the *.,أعمل في *.,vp
feet,أقدام,np
less than,أقل من,adj
bigger,أكبر,adj
more than,أكثر من,adj
1000,ألف,num
2000,ألفين,num
Where is the train to *?,أن القطار المتجه إلى *؟,vp
I'm sorry.,أنا آسف.,sent
I only eat Halal food.,أنا آكل الطعام الحلال فقط.,sent
Me too.,أنا أيضاً,sent
My name is * .,أنا اسمي *.,vp
I'm lost.,أنا تائه.,sent
I've lost *.,أنا فقدت *.,vp
I don't want it.,أنا لا أريده,sent
I don't understand (something heard).,أنا لا أفهم,sent
I'm not feeling well.,أنا لست على ما يرام.,sent
I'm not interested.,أنا لست مهتم.,sent
I'm with *.,أنا مع *.,vp
I am from *.,أنا من *.,vp
I'm a vegetarian.,أنا نباتي.,sent
you,أنت,np
You're cheating me.,"أنت تغشني (s), أنتما تغشانني (two), أنتم تغشونني (more than two)",sent
cleaner,أنظف,np
nose,أنف,np
I want to talk to the * embassy.,أود بالتحدث مع سّفارة *.,vp
cash,أوراق مالية,np
hands,أيادي,np
May,أيار‎/ مايو,np
September,أيلول‎/ سبتمبر,np
Can I use your cell phone?,أيمكنني إستخدام هاتفك؟,sent
Can I use your phone?,أيمكنني استخدام هاتفك النقال؟,sent
Where is the *?,أين ال*؟,vp
Where is the bus to *?,أين الحافلة المتجهة إلى *؟,vp
Where is the bathroom?,أين الحمام؟,sent
Where is the toilet?,أين الحمام؟,sent
Where does this bus go?,أين تذهب هذه الحافلة؟,sent
Where is it on the map?,أين تقع على الخريطة؟,sent
Where is an ATM?,أين توجد آلة الصرف الآلي؟,sent
Where does it hurt?,أين يؤلمك؟,sent
Where does this train go?,أين يذهب هذا القطار؟,sent
Where do we get tickets?,أين يمكننا أن نحصل على تذاكر؟,sent
Where can I find *?,أين يمكنني أن أجد؟,vp
Where can I get money changed?,أين يمكنني أن أصرّف بعض المال؟,sent
Where can I get a traveler's check changed?,أين يمكنني أن أصرّف شيك سياحي؟,sent
12,إثنا عشر,num
2,إثنان,num
22,إثنان وعشرون,num
11,إحدى عشر,num
diarrhoea,إسهال,np
To *.,إلى *,vp
Where are you taking me?,إلى أين أنت آخذني؟,sent
straight ahead,إلى الأمام,sent
I've been injured.,إنني مصاب.,sent
It's uncomfortable.,إنه غير مريح.,sent
It's an emergency.,إنها حالة طارئة.,sent
one way,اتجاه واحد,adv
Leave me alone.,اتركني وحدي.,sent
I need *.,احتاج *.,vp
Watch for the *.,احذر ال*.,vp
pay,ادفع,vp
push,ادفع, vp
pull,اسحب,vp
less,اقل,adj
now,الآن,adv
Sunday,الأحد,np
next week,الأسبوع القادم,np
last week,الأسبوع الماضي,np
Monday,الاثنين,np
a beer,البيرة,np
Three-thirty PM.,الثالثة والنص مساءً,vp
body,الجسم,np
one o'clock AM,الساعة الواحدة صباحاً,np
one o'clock PM,الساعة الواحدة مساءً,np
Police!,الشرطة!, np
noodles,الشعيرية,np
noon,الظهيرة,np
supper,العشاء,np
"The check, please.",الفاتورة، من فضلك.,sent
Coke,الكولا,np
"Some more *, pelase.",المزيد من *، من فضلك.,vp
more,المزيد/أكثر,adj
Help!,النجدة!,sent
national ID,الهوية الوطنية,np
I,انا,np
I am sick.,انا مريض,sent
I'm sick.,انا مريض.,sent
Look out!,انتبه!,sent
Wait or stay?,انتظر أو ابقى؟,sent
Wait.,انتظر.,sent
Go straight.,انطلق الى الأمام.,sent
Can you tell me where * is?,اين *؟,vp
Where?,اين؟,sent
Which direction?,بأي اتجاه؟,sent
Goodbye (informal),باي باي,sent
slowly,ببطء,adv
petrol,بترول,np
"Fine, thank you.",بخير، شكرا لك.,sent
orange,"برتقالي (the color or the adjective), برتقال (the fruit)",np
batteries,بطارية,np
credit card,بطاقة ائتمان,np
postcard,بطاقة بريدية,np
abdomen,بطن,np
after,بعد,adv
Past the *.,بعد ال*. / بعد أن تتخطى ال*.,vp
afternoon,بعد الظهر,np
the day after tomorrow,بعد غد,np
How much is this?,بكم هذا؟,sent
How much?,بكم؟,sent
purple,بنفسجي,adj
brown,بني,adj
beer,بيرة,np
eggs,بيض,np
youth hostel,بيوت الشباب,np
taxi,تاكسي‏/سيارة أجرة,np
"One ticket to *, please.",تذكرة واحدة إلى *.,vp
"1,000,000,000,000",تريليون,num
9,تسعة,num
19,تسعة عشر,num
90,تسعون,num
October,تشرن الأول‎ /أكتوبر,np
November,تشرين الثاني/‎ نوفمبر,np
Good night.,تصبح على خير,sent
intersection,تقاطع,np
TV,‏تلفاز,np
July,تموز/‎ يوليو,np
Stop.,توقف,sent
Stop! Thief!,توقف! لص/سارق‏! ‎,sent
300,ثلاث مائة,num
3,ثلاثة,num
13,ثلاثة عشر,num
23,ثلاثة وعشرون,num
30,ثلاثون,num
80,ثمانون,num
8,ثمانية,num
18,ثمانية عشر,num
cheese,جبنة,np
newspaper,جرائد,np
English newspaper,جريدة إنجليزية,np
south,جنوب,adv
passport,جواز سفر,np
speed limit,حد السرعة,np
June,حزيران/‎ يونيو,np
soup,حساء,np
Okay.,حسناًً,sent
"OK, I'll take it.",حسناً، سآخذه.,sent
throat,حلق,np
milk,حليب,np
bathroom,‏حمام,np
toilet,حمام,np
fever,حمة,np
bread,خبز,np
toast,خبز التوست/المحمص,np
"Take me to *, please.",خذني إلى *، من فضلك.,vp
"Take me there, please.",خذني إلى هناك من فضلك.,sent
exit,خروج,np
lockers,خزانات,np
vegetables,خضروات,np
500,خمس مائة,num
5,خمسة,num
15,خمسة عشر,num
50,خمسون,num
"50,000",خمسون ألف,num
ham,خنزير,np
chicken,دجاج‎\ فراخ,np
entrance,دخول,np
Turn left.,در إلى يسار.,sent
Turn right.,در إلى يمين.,sent
cold medicine,دواء للزكام,np
stomach medicine,دواء للمعدة,np
diesel,ديزل‎ سولار‎ جاز,np
go,ذهب,vp
gold,ذهب,adj
head,رئس,np
men,رجال,np
driver's license,رخصة قيادة,np
cheap,رخيص,adj
neck,رقبة,np
Number *.,رقم *,vp
grey,رمادي,adj
butter,زبدة,np
dumpling,زلابية,np
I'll call the police.,سأتصل بالشرطة‏ ‎.,sent
I will stay for * night(s).,سأقيم * ليلى,vp
Taxi driver,سائق سيارة أجرة/تاكسي,np
7,سبعة,num
17,سبعة عشر,num
70,سبعون,num
avenue,سبيل,np
6,ستة,num
16,ستة عشر,num
60,ستون,num
sausage,سجق/نقاق,np
tampon,سدادة قطنية للدورة ,np
cough,سعال,np
Nice to meet you.,سعيد بالتعرف عليك,sent
sugar,سكر,np
fish,سمك,np
car,سيارة,np
runny nose,سيلان الأنف,np
road,شارع,np
street,شارع,np
shampoo,شامبو,np
tea,شاي,np
green tea,شاي أخضر,np
black tea,شاي أسود,np
scented tea,شاي معطر, np
February,شباط‎ \فبراير,np
whiskey,شراب الويسكي,np
vodka,شراب فودكا,np
rum,شراب مسكر كحولي (رم),np
east,شرق,adj
hair,شعر,np
Thank you.,شكراًً,sent
Thank you so much.,شكراً جزيلاً,sent
north,شمال,adv
check,شيك,np
soap,صابون,np
morning,صباح,np
Good morning.,صباح الخير.,sent
chest,صدر,np
0,صفر,num
club soda,صودا,np
airplane,طائرة,np
postage stamp,طابع بريدي,np
Medical emergency,طارئ طبي,np
a table for * people,طاولة ل * شخص,np
back,ظهر,np
Pardon me?,عذراً/معذرة؟,sent
10,عشرة,num
"10,000",عشرة آلاف,num
"10,001",عشرة آلاف و واحد,num
"10,002",عشرة آلاف وإثنان,num
"10,000,000",عشرة ملايين,num
20,عشرون,num
"20,000",عشرون الف,num
juice,عصير,np
orange juice,عصير برتقال,np
sneeze,عطسة,np
Can you speak *?,عل يمكنك تحدث ال*؟,vp
You're welcome.,على الرحب والسعة,sent
work,عمل,np
eyes,عيون,sent
expensive,غالي,adj
tomorrow,غداً,np
lunch,غداء,np
west,غرب,adv
fruits,فاكهة,np
toothbrush,فرشاة أسنان,np
I lost my *.,فقدت *.,vp
I lost my bag.,فقدت حقيبتي.,sent
black pepper,فلفل أسود,np
hotel,فندق,np
beans,فول,np
"Can I look at the menu, please?",قائمة الطعام، من فضلك؟,sent
a bottle,قارورة,np
dictionary,قاموس,np
before,قبل,adv
Before *.,قبل *.,vp
the day before yesterday,قبل البارحة,np
Around the corner.,قريب من هنا,sent
stop (on a street sign),قف,sent
pen,قلم حبر,np
pencil,قلم رصاص,np
coffee,قهوة,np
a glass of wine,كأس من النبيذ,np
It was a misunderstanding.,كان سوء تفاهم,sent
It was delicious.,كان لذيذ‏ ‎,sent
This was very impressive!,كان هذا رائعا جدا!,sent
December,كانون الأول‎/ ديسمبر,np
January,كانون الثاني‎/ يناير,np
English books,كتب إنجليزية,np
shoulder,كتف,np
What time is it?,كم الساعة؟,sent
How do I get to * ?,كيف أصل إلى *؟,vp
How are you?,كيف حالك,sent
How was your meal?,كيف كانت وجبتك؟,sent
I don't eat *.,لا آكل *.,vp
I don't speak *.,لا أتحدث *.,vp
I don't want *.,لا أريد *.,vp
I can't afford it.,لا أستطيع تحمل هذا,sent
I can't speak *.,لا اتكلم *.,vp
"It's okay. (polite response to ""I'm sorry"")",لا بأس,sent
Don't touch me!,لا تلمسني!,sent
"No, thank you.",لا، شكراً.,sent
No.,لا.,sent
later,لاحقاً,adv
mutton,لحم الضأن,np
beef,لحم بقري,np
pork,لحم خنزير,np
I have *.,لدي *.,vp
I'm finished.,لقد انتهيت.,sent
I have arrived.,لقد وصلت.,sent
Why?,لماذا؟,sent
Excuse me. (coming through),لو سمحت,sent
Could you please *?,لو سمحتو هل يمكنك أن *؟,vp
Not too far.,ليس بعيد جداً,sent
I don't have *.,ليس عندي *.,vp
night,ليلة/ليل,np
buttocks,مؤخرة,np
painful,مؤلم,adj
"200,000",مئتي ألف,num
200,مئتين,num
What is your name?,ما اسمك؟,sent
How much is it per hour?,ما السعر للساعة؟,sent
How much is a ticket to *?,ما سعر التذكرة الى *؟,vp
How much is a room for one person per night?,ما سعر الغرفة لفرد واحد؟,sent
How much is a room for two people per night?,ما سعر الغرفة لفردين؟,sent
How much is it to call to *?,ما سعر المكالمة الى *؟,vp
How much is it to get in?,ما سعر تذكرة الدخول؟,sent
I haven't done anything wrong.,ما عملت اشي غلط.,sent
What is this?,ما هذا؟,sent
When is closing time?,ما هو توقيت الإغلاق؟,sent
When is opening time?,ما هو توقيت الافتتاح؟,sent
What time is breakfast/supper?,ما هو توقيت الفطور/العشاء؟,sent
What is the exchange rate?,ما هو سعر العملة؟,sent
What is your special dish?,ما هو طبقك المميز؟,sent
water,ماء,np
boiled water,ماء مغلي,np
100,مائة,num
"100,000",مائة ألف,num
"100,000,000",مائة مليون,num
111,مائة و أحد عشر,num
101,مائة و واحد,num
110,مائة وعشرة,num
What is this called?,ماذا يدعى هذا؟,sent
What?,ماذا؟,sent
money,مال,np
When does the bus for * leave?,متى تنطلق الحافلة المتجه إلى*؟,vp
What time will this bus arrive?,متى ستصل هذه الحافلة؟,vp
What time will this train arrive?,متى سيصل هذا القطار؟,sent
When do I have to check out?,متى يجب علي تسجيل الخروج؟,sent
When does the train for * leave?,متى ينطلق القطار المتجه إلى*؟,vp
When?,متى؟,sent
English magazines,مجلات انجليزية,np
train station,محطة القطار,np
gas station,محطة بنزين,np
bus station,محطة حافلات,np
heater,مدفأة,np
Hello.,مرحبا.,sent
sunblock lotion,مرهم حماية من حروق الشمس,np
evening,مساء,np
Good evening.,مساء الخير.,sent
pain killer,مسكن ألم,sent
bars,مشرب,np
airport,مطار,np
restaurant,مطعم,np
umbrella,مظلة,np
Goodbye,مع السلامة,sent
toothpaste,معجون أسنان,np
Excuse me. (getting attention),معذرة,sent
wrist,معصم,np
macaroni,معكرونة,np
closed,مغلق,adj
open,مفتوح,adj
Do you understand?,مفهوم؟,sent
second class cabin,مقصورة الدرجة الثانية,np
first class cabin,مقصورة درجة أولى,np
cafe,مقهى,np
airconditioner,مكيف هواء,np
bedsheets,ملاءات السرير,np
bedsheet,ملاءة سرير,np
sore,ملتهب,adj
salt,ملح,np
"1,000,000,000",مليار‎,num
"1,000,000",مليون,num
Excellent!,ممتاز!,sent
forbidden,ممنوع,adj
No parking.,ممنوع الوقوف,sent
from,من,prt
Where are you from?,من أين أنت؟,sent
Please.,من فضلك, part
"* and * , please.",من فضلك أعطني * و *.,vp
Please give me *.,من فضلك أعطني *., sent
Please use the meter machine.,من فضلك استعمل آلة السحب ببطاقة الائتمان.,sent
Please turn up the AC.,من فضلك شغل المكيف الهوائي., sent
Please clear the plates.,من فضلك نظف الصحون.,sent
Please clean my room.,من فضلك نظف غرفتي.,sent
Who?,من؟,sent
midnight,منتصف الليل,np
U-turn.,منعطف.,sent
sites to see,مواقع لترى,np
razor,موس حلاقة,np
carbonated water,مياه غازية,np
bottled water,مياه معبأة,np
tonic water,مياه مقوية,np
white wine,نبيذ أبيض,np
red wine,نبيذ أحمر,np
we,نحن,np
There are * of us.,نحن * أشخاص,vp
Which station are we at?,نحن في أي محطة؟,sent
Towards the *.,نحو ال*.,vp
women,نساء,np
half,نصف,adj
a pint,نصف لتر,np
glasses,نظارات,np
"Yes, please.",نعم من فضلك,sent
Yes.,نعم.,sent
April,نيسان‎\ أبريل,np
quiet,هادئ,adj
this week,هذا الأسبوع,np
That's too expensive.,هذا غال جدا.,sent
Can I get insurance?,هل أستطيع الحصول على تأمين؟,sent
Am I under arrest?,هل أنا معتقل؟,sent
Here by yourself?,هل أنت(ي) هنا لوحدك؟,sent
Can I get a bag?,هل استطيع الحصول على حقيبة؟,sent
Can I make international calls here?,هل استطيع القيام بمكالمة دولية من هنا؟,sent
Can I just pay a fine now?,هل استطيع دفع غرامة أدفع غرامة الآن؟,sent
Does this bus stop in *?,هل تتوقف هذه الحافلة في *؟,vp
Does the room come with *?,هل تحتوي هذه الغرفة على *؟,vp
Do you go to *?,هل تذهب إلى *؟,vp
Can you wake me at *?,هل تستطيع إيقاظي الساعة *؟,vp
Do you know *?,هل تعلم *؟,vp
Do you accept US dollars?,هل تقبل الدولار الأمريكي؟,sent
Do you accept * currency?,هل تقبل العملة *؟,vp
Do you accept credit cards?,هل تقبل بطاقات الائتمان؟,sent
Do you take * currency?,هل تقبلون عملة *؟,vp
Do you serve alcohol?,هل تقدمون أي خمور؟,sent
Do you have any rooms available?,هل لديك أي غرف متاحة؟,sent
Do you have any snacks?,هل لديك أي وجبات خفيفة؟,sent
Do you have insurance?,هل لديك تأمين؟,sent
Do you have a safe?,هل لديك خزنة؟,sent
Do you have an English menu?,هل لديك قائمة بالإنجليزية؟,sent
Do you have it in another color?,هل لديك لون آخر؟,sent
Do you have this in my size?,هل لديكم من هذه بمقاسي؟,sent
May I have some *?,هل لي بالحصول على القليل من *؟,vp
May I have a bottle of *?,هل لي بالحصول على قارورة *؟,vp
May I have a glass of *?,هل لي بالحصول على كأس من *؟,vp
May I have a cup of *?,هل لي بالحصول على كوب من *؟,vp
"May I please ask, what is your name?",هل لي بالسؤال، ما هو اسمك؟,vp
May I see the room first?,هل لي برؤية الغرفة أولاً؟,vp
Is this seat free?,هل هذا المقعد خالى؟,sent
Is insurance included?,هل هذا شامل التأمين؟,sent
Does that include breakfast?,هل هذا يشمل وجبة الافطار؟,sent
Do you ship overseas?,هل هن,sent
Is there * you recommend?,هل هناك * تنصحني به؟,vp
Is there * around here?,هل هناك * قريب؟,vp
Is there someone here who speaks English?,هل هناك أحد يتحدث الانجليزية؟,sent
Is there a local specialty?,هل هناك تخصص محلي؟,sent
Is there table service?,هل هناك خدمة طاولات؟,sent
Is there a student discount?,هل هناك خصم للطلاب؟,sent
Is there a group discount?,هل هناك خصم للمجموعات؟,sent
Do you speak English?,هل هناك شحن دولى؟,sent
Is there anywhere I can leave luggage?,هل هناك مكان أترك فيه أغراضي؟,sent
Is it open on *?,هل هو مفتوح *؟,vp
Is breakfast included?,هل يتضمن ذلك الإفطار؟,sent
Does this train stop in *?,هل يتوقف هذا القطار في *؟,vp
Can you get a doctor?,هل يمكنك أن تحضر طبيب؟,sent
Can you show me on the map?,هل يمكنك أن تريني أين هو على الخريطة؟,sent
Can you write the name and address down?,هل يمكنك أن تكتب لي الإسم و العنوان؟,sent
Could you repeat that?,هل يمكنك أن تكرر هذا؟,sent
Can you suggest another hotel?,هل يمكنك اقتراح فندق آخر؟,sent
Can you change money for me?,هل يمكنك تحويل مال لي؟ ,sent
Can I make a telephone call?,هل يمكنني الحصول على مكالمة هاتفية؟,sent
Can I print here?,هل يمكنني الطبع من هنا؟,sent
Can I make an appointment?,هل يمكنني حجز موعد؟,sent
they (m/mixed),هم,np
they (two people),هما,np
they (f),هن,np
here,هنا,adv
there,هناك,adv
he,هو,np
she,هي,np
It is nine in the morning.,هي التاسعة صباحاً,sent
1,واحد,num
"One more, please.",واحد إضافي، من فضلك.,sent
21,واحد وعشرون,num
breakfast,وجبة افطار,np
fixed-price meal,وجبة ثابتة السعر,np
face,وجه,np
deposit,وديعة,np
writing paper,ورق للكتابة,np
downtown,وسط البلد,np
itchy,يحكك,adj
left,يسار,adv
right,يمين,part
yield,ينتج,vp
Wednesday,يوم الأربعاء,np
Tuesday,يوم الثلاثاء,np
Friday,يوم الجمعة,np
Thursday,يوم الخميس,np
Saturday,يوم السبت,np
How much does it cost to get to *?,كم سيكلفني الذهاب إلى *؟,vp