en,ar,cn,pos
Afghanistan,أفغانستان,阿富汗,np
Albania,ألبانيا,阿尔巴尼亚,np
Algeria,الجزائر,阿尔及利亚,np
Andorra,أندورا,安道尔,np
Angola,أنغولا,安哥拉,np
Antigua,أنتيغوا,安提瓜,np
Argentina,الأرجنتين,阿根廷,np
Armenia,أرمينيا,亚美尼亚,np
Australia,أستراليا,澳大利亚,np
Austria,النمسا,奥地利,np
Azerbaijan,أذربيجان,阿塞拜疆,np
Bahamas,الباهاما,巴哈马,np
Bahrain,البحرين,巴林,np
Bangladesh,بنغلاديش,孟加拉国,np
Barbados,بربادوس,巴巴多斯,np
Belarus,روسيا البيضاء,白俄罗斯,np
Belgium,بلجيكا,比利时,np
Belize,بليز,伯利兹,np
Benin,بنين,贝宁,np
Bhutan,بوتان,不丹,np
Bolivia,بوليفيا,玻利维亚,np
Bosnia Herzegovina,البوسنة الهرسك,波黑,np
Botswana,بوتسوانا,博茨瓦纳,np
Brazil,البرازيل,巴西,np
Brunei,بروناي,文莱,np
Bulgaria,بلغاريا,保加利亚,np
Burkina,فاسو,布基纳法索,np
Burundi,بوروندي,布隆迪,np
Cambodia,كمبوديا,柬埔寨,np
Cameroon,الكاميرون,喀麦隆,np
Canada,كندا,加拿大,np
Cape Verde,الرأس الأخضر,佛得角,np
Central African Rep,ممثل وسط افريقيا,中非共和国,np
Chad,تشاد,乍得,np
Chile,تشيلي,智利,np
China,الصين,中国,np
Colombia,كولومبيا,哥伦比亚,np
Comoros,جزر القمر,科摩罗,np
Congo,الكونغو,刚果,np
Democratic Republic of Congo,جمهورية الكونغو الديمقراطية,刚果民主共和国,np
Costa Rica,كوستا ريكا,哥斯达黎加,np
Croatia,كرواتيا,克罗地亚,np
Cuba,كوبا,古巴,np
Cyprus,قبرص,塞浦路斯,np
Czech Republic,جمهورية التشيك,捷克共和国,np
Denmark,الدنمارك,丹麦,np
Djibouti,جيبوتي,吉布提,np
Dominica,دومينيكا,多米尼加,np
Dominican Republic,جمهورية الدومنيكان,多明尼加共和国,np
East Timor,تيمور الشرقية,东帝汶,np
Ecuador,الإكوادور,厄瓜多尔,np
Egypt,مصر,埃及,np
El Salvador,السلفادور,萨尔瓦多,np
Equatorial Guinea,غينيا الإستوائية,赤道几内亚,np
Eritrea,إريتريا,厄立特里亚,np
Estonia,استونيا,爱沙尼亚,np
Ethiopia,أثيوبيا,埃塞俄比亚,np
Fiji,فيجي,斐,np
Finland,فنلندا,芬兰,np
France,فرنسا,法国,np
Gabon,الغابون,加蓬,np
Gambia,غامبيا,冈比亚,np
Georgia,جورجيا,格鲁吉亚,np
Germany,ألمانيا,德国,np
Ghana,غانا,加纳,np
Greece,اليونان,希腊,np
Grenada,غرينادا,格林纳达,np
Guatemala,غواتيمالا,危地马拉,np
Guinea,غينيا,几内亚,np
Guinea-Bissau,غينيا بيساو,几内亚比绍,np
Guyana,غيانا,圭亚那,np
Haiti,هايتي,海地,np
Honduras,هندوراس,洪都拉斯,np
Hungary,اليونان,匈牙利,np
Iceland,أيسلندا,冰岛,np
India,الهند,印度,np
Indonesia,أندونيسيا,印度尼西亚,np
Iran,إيران,伊朗,np
Iraq,العراق,伊拉克,np
Ireland,أيرلندا,爱尔兰,np
Israel,إسرائيل,以色列,np
Italy,إيطاليا,意大利,np
Ivory Coast,ساحل العاج,象牙海岸,np
Jamaica,جامايكا,牙买加,np
Japan,اليابان,日本,np
Jordan,الأردن,约旦,np
Kazakhstan,كازاخستان,哈萨克斯坦,np
Kenya,كينيا,肯尼亚,np
Kiribati,كيريباس,基里巴斯,np
North Korea,كوريا الشمالية,北朝鲜,np
South Korea,كوريا الجنوبية,韩国,np
Kosovo,كوسوفو,科索沃,np
Kuwait,الكويت,科威特,np
Kyrgyzstan,قرغيزستان,吉尔吉斯斯坦,np
Laos,لاوس,老挝,np
Latvia,لاتفيا,拉脱维亚,np
Lebanon,لبنان,黎巴嫩,np
Lesotho,ليسوتو,莱索托,np
Liberia,ليبيريا,利比里亚,np
Libya,ليبيا,利比亚,np
Liechtenstein,ليختنشتاين,列支敦士登,np
Lithuania,ليتوانيا,立陶宛,np
Luxembourg,لوكسمبورغ,卢森堡,np
Macedonia,مقدونيا,马其顿,np
Madagascar,مدغشقر,马达加斯加,np
Malawi,مالاوي,马拉维,np
Malaysia,ماليزيا,马来西亚,np
Maldives,جزر المالديف,马尔代夫,np
Mali,مالي,马里,np
Malta,مالطا,马耳他,np
Marshall Islands,جزر مارشال,马绍尔群岛,np
Mauritania,موريتانيا,毛里塔尼亚,np
Mauritius,موريشيوس,毛里求斯,np
Mexico,المكسيك,墨西哥,np
Micronesia,ميكرونيزيا,密克罗尼西亚,np
Moldova,مولدوفا,摩尔多瓦,np
Monaco,موناكو,摩纳哥,np
Mongolia,منغوليا,蒙古,np
Montenegro,الجبل الأسود,黑山,np
Morocco,المغرب,摩洛哥,np
Mozambique,موزمبيق,莫桑比克,np
Myanmar,ميانمار,缅甸,np
Namibia,ناميبيا,纳米比亚,np
Nauru,ناورو,瑙鲁,np
Nepal,نيبال,尼泊尔,np
Netherlands,هولندا,荷兰,np
New Zealand,نيوزيلاندا,新西兰,np
Nicaragua,نيكاراغوا,尼加拉瓜,np
Niger,النيجر,尼日尔,np
Nigeria,نيجيريا,尼日利亚,np
Norway,النرويج,挪威,np
Oman,سلطنة عمان,阿曼,np
Pakistan,باكستان,巴基斯坦,np
Palau,بالاو,帕劳,np
Panama,بناما,巴拿马,np
Papua New Guinea,بابوا غينيا الجديدة,巴布亚新几内亚,np
Paraguay,باراغواي,巴拉圭,np
Peru,بيرو,秘鲁,np
Philippines,الفلبين,菲律宾,np
Poland,بولندا,波兰,np
Portugal,البرتغال,葡萄牙,np
Qatar,دولة قطر,卡塔尔,np
Romania,رومانيا,罗马尼亚,np
Russian Federation,الاتحاد الروسي,俄罗斯联邦,np
Rwanda,رواندا,卢旺达,np
St Kitts & Nevis,سانت كيتس ونيفيس,圣基茨和尼维斯,np
St Lucia,شارع لوسيا,圣卢西亚,np
Saint Vincent & the Grenadines,سانت فنسنت وجزر غرينادين,圣文森特和格林纳丁斯,np
Samoa,ساموا,萨摩亚,np
San Marino,سان مارينو,圣马力诺,np
Sao Tome & Principe,ساو تومي وبرينسيبي,圣多美和普林西比,np
Saudi Arabia,المملكة العربية السعودية,沙特阿拉伯,np
Senegal,السنغال,塞内加尔,np
Serbia,صربيا,塞尔维亚,np
Seychelles,سيشيل,塞舌尔,np
Sierra Leone,سيرا ليون,塞拉利昂,np
Singapore,سنغافورة,新加坡,np
Slovakia,سلوفاكيا,斯洛伐克,np
Slovenia,سلوفينيا,斯洛文尼亚,np
Solomon Islands,جزر سليمان,所罗门群岛,np
Somalia,الصومال,索马里,np
South Africa,جنوب أفريقيا,南非,np
South Sudan,جنوب السودان,南苏丹,np
Spain,إسبانيا,西班牙,np
Sri Lanka,سيريلانكا,斯里兰卡,np
Sudan,سودان,苏丹,np
Suriname,سورينام,苏里南,np
Swaziland,سوازيلاند,斯威士兰,np
Sweden,السويد,瑞典,np
Switzerland,سويسرا,瑞士,np
Syria,سوريا,叙利亚,np
Taiwan,تايوان,台湾,np
Tajikistan,طاجيكستان,塔吉克斯坦,np
Tanzania,تنزانيا,坦桑尼亚,np
Thailand,تايلاند,泰国,np
Togo,ليذهب,多哥,np
Tonga,تونغا,汤加,np
Trinidad & Tobago,ترينيداد وتوباجو,特立尼达和多巴哥,np
Tunisia,تونس,突尼斯,np
Turkey,ديك رومي,火鸡,np
Turkmenistan,تركمانستان,土库曼斯坦,np
Tuvalu,توفالو,图瓦卢,np
Uganda,أوغندا,乌干达,np
Ukraine,أوكرانيا,乌克兰,np
United Arab Emirates,الإمارات العربية المتحدة,阿联酋,np
United Kingdom,المملكة المتحدة,英国,np
United States,الولايات المتحدة الامريكانية,美国,np
Uruguay,أوروغواي,乌拉圭,np
Uzbekistan,أوزبكستان,乌兹别克斯坦,np
Vanuatu,فانواتو,瓦努阿图,np
Vatican City,مدينة الفاتيكان,梵蒂冈城,np
Venezuela,فنزويلا,委内瑞拉,np
Vietnam,فيتنام,越南,np
Yemen,اليمن,也门,np
Zambia,زامبيا,赞比亚,np
Zimbabwe,زيمبابوي,津巴布韦,np
Tokyo,طوكيو,东京,np
Delhi,دلهي,新德里,np
Shanghai,شنغهاي,上海,np
Beijing,بكين,北京,np
Mumbai,مومباي,孟买,np
Sao Paulo,ساو باولو,圣保罗,np
Mexico City,المكسيك المدينة,墨西哥城,np
Osaka,أوساكا,大阪,np
Cairo,القاهرة,开罗,np
Dhaka,دكا,达卡,np
Karachi,كراتشي,卡拉奇,np
Buenos Aires,بوينس آيرس،,布宜诺斯艾利斯,np
Kolkata,كولكاتا,加尔各答,np
Lagos,لاغوس,拉各斯,np
Istanbul,اسطنبول,伊斯坦布尔,np
Chongqing,تشونغتشينغ,渝,np
Guangzhou,قوانغتشو,广州,np
Manila,مانيلا,马尼拉,np
Rio de Janeiro,ريو دي جانيرو,里约热内卢,np
Moscow,موسكو,莫斯科,np
Tianjin,تيانجين,天津,np
Bangalore,بنغالور,班加罗尔,np
Paris,باريس,巴黎,np
Shenzhen,شنتشن,深圳,np
Jakarta,جاكرتا,雅加达,np
Chennai,تشيناي,奈,np
London,لندن,伦敦,np
Lima,ليما,利马,np
Bogota,بوغوتا,波哥大,np
Johannesburg,جوهانسبرج,约翰内斯堡,np
Seoul,سيول,首尔,np
Bangkok,بانكوك,曼谷,np
Hyderabad,حيدر أباد,海得拉巴,np
Lahore,لاهور,拉合尔,np
Tehran,طهران,德黑兰,np
Chengdu,تشنغدو,成都,np
Wuhan,ووهان,武汉,np
Ahmedabad,أحمد أباد,艾哈迈达巴德,np
Kuala Lumpur,كوالا لامبور,吉隆坡,np
Riyadh,مدينة الرياض,利雅得,np
Santiago,سانتياغو,圣地亚哥,np
Surat,سورة,苏拉特,np
Madrid,مدريد,马德里,np
Toronto,تورونتو,多伦多,np
Pune,بيون,普纳,np
Dar es Salaam,دار السلام,达累斯萨拉姆,np
Barcelona,برشلونة,巴塞罗那,np
Yangon,يانجون,仰光,np
Guadalajara,غوادالاخارا,瓜达拉哈拉,np
Ankara,أنقرة,安卡拉,np
Alexandria,الإسكندرية,亚历山大,np
Saint Petersburg,سان بطرسبرج,圣彼得堡,np
Sydney,سيدني,悉尼,np
Nairobi,نيروبي,内罗毕,np
Brasilia,برازيليا,巴西利亚,np
Melbourne,ملبورن,墨尔本,np
Medellin,ميديلين,麦德林,np
Montreal,مونتريال,蒙特利尔,np
Aleppo,حلب,阿勒颇,np
Cape Town,كيب تاون,开普敦,np
Tel Aviv,تل أبيب,特拉维夫,np
Rome,روما,罗马,np
Jaipur,جايبور,斋浦尔,np
Casablanca,الدار البيضاء,卡萨布兰卡,np
Berlin,البرلينية,柏林,np
Lucknow,لكناو,勒克瑙,np
Busan,بوسان,釜山,np
Milan,ميلان,米兰,np
Kanpur,كانبور,坎普尔,np
Athens,أثينا,雅典,np
Surabaya,سورابايا,泗水,np
Lisbon,لشبونة,里斯本,np
Abuja,أبوجا,阿布贾,np
Cali,كالي,卡利,np
Manchester,مانشستر,曼彻斯特,np
Taipei,تايبيه,台北,np
Dubai,دبي,迪拜,np
Vancouver,فانكوفر,温哥华,np
Accra,أكرا,阿克拉,np
Brisbane,بريسبان,布里斯班,np
Beirut,بيروت,贝鲁特,np
Bhopal,بوبال,博帕尔,np
Pretoria,بريتوريا,比勒陀利亚,np
Hiroshima,هيروشيما,广岛,np
Tijuana,تيخوانا,蒂华纳,np
Havana,هافانا,哈瓦那,np
Brussels,بروكسل,布鲁塞尔,np
Perth,بيرث,珀斯,np
Phnom Penh,بنوم بنه,金边,np
Bucharest,بوخارست,布加勒斯特,np
Mecca,مكة المكرمة,麦加,np
Hamburg,هامبورغ,汉堡,np
Vienna,فيينا,维也纳,np
Panama City,مدينة باناما,巴拿马城,np
Warsaw,وارسو,华沙,np
Budapest,بودابست,布达佩斯,np
Lyon,ليون,里昂,np
Marseille,مرسيليا,马赛,np
Islamabad,اسلام اباد,伊斯兰堡,np
Stockholm,ستوكهولم,斯德哥尔摩,np
Munich,ميونيخ,慕尼黑,np
Sharjah,الشارقة,沙迦,np
Calgary,كالجاري,卡尔加里,np
Auckland,أوكلاند,奥克兰,np
Ottawa,أوتاوا,渥太华,np
Edmonton,ادمونتون,埃德蒙顿,np
Prague,براغ,布拉格,np
Porto,بورتو,波尔图,np
Kathmandu,كاتماندو,加德满都,np
Copenhagen,كوبنهاغن,哥本哈根,np
Adelaide,أديليد,阿德莱德,np
Zurich,زيوريخ,苏黎世,np
Abu Dhabi,أبو ظبي,阿布扎比,np
Glasgow,غلاسكو,格拉斯哥,np
Sofia,صوفيا,苏菲亚,np
Dublin,دبلن,都柏林,np
Helsinki,هلسنكي,赫尔辛基,np
Belgrade,بلغراد,贝尔格莱德,np
Ho Chi Minh City,مدينة هو تشي مينه,胡志明市,np
Tripoli,طرابلس,硅藻土,np
Amsterdam,أمستردام,阿姆斯特丹,np
Cologne,كولونيا,科隆,np
Oslo,أوسلو,奥斯陆,np
Rotterdam,روتردام,鹿特丹,np
Nice,لطيف,尼斯,np
Toulouse,تولوز,图卢兹,np
Bordeaux,بوردو,波尔多,np
Southampton,ساوثامبتون,南安普敦,np
Liverpool,ليفربول,利物浦,np
Jerusalem,بيت المقدس,耶路撒冷,np
Valencia,فالنسيا,瓦伦西亚,np
Birmingham,برمنغهام,伯明翰,np
Winnipeg,وينيبيغ,温尼伯,np
Nottingham,نوتنغهام,诺丁汉,np
Hamilton,هاميلتون,汉密尔顿,np
Frankfurt,فرانكفورت,法兰克福,np
Thessaloniki,سالونيك,塞萨洛尼基,np
Sheffield,شيفيلد,谢菲尔德,np
Bali,بالي,巴厘岛,np
Florence,فلورنسا,佛罗伦萨,np
Zagreb,زغرب,萨格勒布,np
Gaza,غزة,加沙,np
Bristol,بريستول,布里斯托尔,np
The Gold Coast,والذهب الساحل,在黄金海岸,np
Stuttgart,شتوتغارت,斯图加特,np
Venice,مدينة البندقية,威尼斯,np
Nantes,نانت,南特,np
Belfast,بلفاست,贝尔法斯特,np
Dusseldorf,دوسلدورف,杜塞尔多夫,np
Kingston,كينغستون,金士顿,np
Riga,ريغا,里加,np
Leicester,ليستر,莱斯特,np
Kitchener,كيتشنر,基奇纳,np
Brighton,برايتون,布莱顿,np
Edinburgh,ادنبره,爱丁堡,np
Cardiff,كارديف,加的夫,np
Canberra,كانبيرا,堪培拉,np
Montpellier,مونبلييه,蒙彼利埃,np
Halifax,هاليفاكس,哈利法克斯,np
Wellington,ولينغتون,惠灵顿,np
Bratislava,براتيسلافا,布拉迪斯拉发,np
Newcastle,نيوكاسل,新城堡,np
Stoke-on-Trent,ستوك أون ترينت,特伦特河畔斯托克,np
Coventry,كوفنتري,考文垂,np
Port Moresby,مرفئ مويسبي,端口莫尔兹比港,np
Victoria,فيكتوريا,维多利亚,np
Christchurch,كرايستشيرش,克赖斯特彻奇,np
Swansea,سوانسي,斯旺西,np
Windsor,ويندسور,温莎,np
Sarajevo,سراييفو,萨拉热窝,np
Hong Kong,هونغ كونغ,香港,np
Macau,ماكاو,澳门,np
New York City,نيويورك,纽约市,np