,en,ar,pos,cn
283,Is there a local specialty?,هل هناك تخصص محلي؟,sent,有没有当地特色？
284,Is there a student discount?,هل هناك خصم للطلاب؟,sent,有没有学生优惠？
285,Is there anywhere I can leave luggage?,هل هناك مكان أترك فيه أغراضي؟,sent,有没有地方让我放行李？
286,Is there someone here who speaks English?,هل هناك أحد يتحدث الانجليزية؟,sent,这里有人会说英语吗？
287,Is there table service?,هل هناك خدمة طاولات؟,sent,有没有餐桌服务？
288,Is this seat free?,هل هذا المقعد خالى؟,sent,这里有人坐吗？
289,It hurts here.,أشعر بالألم هنا.,sent,这里很痛
290,It is nine in the morning.,هي التاسعة صباحاً,sent,现在是早上9点钟。
291,It was a misunderstanding.,كان سوء تفاهم,sent,这是误会。
292,It was delicious.,كان لذيذ‏ ‎,sent,很好吃。
293,It's an emergency.,إنها حالة طارئة.,sent,这是紧急情况。
294,"It's okay. (polite response to ""I'm sorry"")",لا بأس,sent,没关系。
295,It's uncomfortable.,إنه غير مريح.,sent,不舒服。
296,itchy,يحكك,adj,痒
297,January,كانون الثاني‎/ يناير,np,一月
298,juice,عصير,np,果汁
299,July,تموز/‎ يوليو,np,七月
300,June,حزيران/‎ يونيو,np,六月
301,last week,الأسبوع الماضي,np,上个星期
302,later,لاحقاً,adv,迟一点
303,Leave me alone.,اتركني وحدي.,sent,不要打扰我。
304,left,يسار,adv,左边
305,legs,أرجل,np,腿
306,less,اقل,adj,少
307,less than,أقل من,adj,少于
308,lockers,خزانات,np,储物柜
309,Look out!,انتبه!,sent,小心！
310,lunch,غداء,np,午饭
311,macaroni,معكرونة,np,通粉
312,March,آذار‎ / مارس,np,三月
313,May,أيار‎/ مايو,np,五月
314,May I have a bottle of *?,هل لي بالحصول على قارورة *؟,vp,可以来一瓶*吗？
315,May I have a cup of *?,هل لي بالحصول على كوب من *؟,vp,可以来一杯*吗？
316,May I have a glass of *?,هل لي بالحصول على كأس من *؟,vp,可以来一杯*吗？
317,May I have some *?,هل لي بالحصول على القليل من *؟,vp,可以来一点*吗？
318,"May I please ask, what is your name?",هل لي بالسؤال، ما هو اسمك؟,sent,请问你叫什么名?
319,May I see the room first?,هل لي برؤية الغرفة أولاً؟,sent,请问我可以先看一下房间吗？
320,Me too.,أنا أيضاً,sent,我也是
321,Medical emergency,طارئ طبي,np,医疗急诊
322,men,رجال,np,男人
323,midnight,منتصف الليل,np,半夜
324,milk,حليب,np,牛奶
325,Monday,الاثنين,np,星期一
326,money,مال,np,金钱
327,more,المزيد/أكثر,adj,更
328,more than,أكثر من,adj,多于
329,morning,صباح,np,早上
330,mutton,لحم الضأن,np,羊肉
331,My name is * .,أنا اسمي *.,vp,我叫 * 。
332,nails,"أظافر (fingernails), مسامير (hammering nails) ",np,指甲
333,national ID,الهوية الوطنية,np,证件
334,neck,رقبة,np,颈项/脖子
335,newspaper,جرائد,np,报纸
336,next week,الأسبوع القادم,np,下个星期
337,Nice to meet you.,سعيد بالتعرف عليك,sent,很高兴认识你。
338,night,ليلة/ليل,np,晚上好。
339,No parking.,ممنوع الوقوف,sent,禁止停车
340,"No, thank you.",لا، شكراً.,sent,不用了，谢谢。
341,No.,لا.,sent,不要
342,noodles,الشعيرية,np,面条
343,noon,الظهيرة,np,中午
344,north,شمال,adv,北
345,nose,أنف,np,鼻子
346,Not too far.,ليس بعيد جداً,sent,不太远
347,November,تشرين الثاني/‎ نوفمبر,np,十一月
348,now,الآن,adv,现在
349,Number *.,رقم *,vp,数字
350,October,تشرن الأول‎ /أكتوبر,np,十月
351,"OK, I'll take it.",حسناً، سآخذه.,sent,我要买这个。
352,Okay.,حسناًً,sent,好的
353,"One more, please.",واحد إضافي، من فضلك.,sent,请再给我一个。
354,one o'clock AM,الساعة الواحدة صباحاً,np,凌晨一点钟
355,one o'clock PM,الساعة الواحدة مساءً,np,下午一点钟
356,"One ticket to *, please.",تذكرة واحدة إلى *.,vp,要一张去*的票，谢谢
357,one way,اتجاه واحد,adv,单行道
358,open,مفتوح,adj,开
359,orange,"برتقالي (the color or the adjective), برتقال (the fruit)",np,橙色
360,orange,"برتقالي (the color or the adjective), برتقال (the fruit)",np,橙色
361,orange juice,عصير برتقال,np,柳橙汁
362,pain killer,مسكن ألم,np,止痛药
363,painful,مؤلم,adj,痛。
364,Pardon me?,عذراً/معذرة؟,sent,可以再重复一遍吗？
365,passport,جواز سفر,np,护照
366,Past the *.,بعد ال*. / بعد أن تتخطى ال*.,vp,传*
367,pay,ادفع,vp,付
368,pen,قلم حبر,np,笔
369,pen,قلم حبر,np,笔
370,pencil,قلم رصاص,np,铅笔
371,petrol,بترول,np,汽油
372,Please clean my room.,من فضلك نظف غرفتي.,sent,请清洁我的房间
373,Please clear the plates.,من فضلك نظف الصحون.,sent,请洗干净这些碟子
374,Please come with me.,أرجوك، تعال/تعالي معي.,sent,请跟我过来
375,Please give me *.,من فضلك أعطني *.,vp,请给我*。
376,Please turn up the AC.,من فضلك شغل المكيف الهوائي., sent,请把空调开大一点。
377,Please use the meter machine.,من فضلك استعمل آلة السحب ببطاقة الائتمان.,sent,请打表。
378,Please.,من فضلك,adv,请。
379,police,الشرطة, np,警察
380,pork,لحم خنزير,np,猪肉
381,pork,لحم خنزير,np,猪肉
382,postage stamp,طابع بريدي,np,邮票
383,postcard,بطاقة بريدية,np,明信片
384,postcard,بطاقة بريدية,np,明信片
385,pull,اسحب,vp,拉
386,purple,بنفسجي,adj,紫色
387,push,ادفع,adv,推
388,quiet,هادئ,adj,安静
389,razor,موس حلاقة,np,剃刀
390,razor,موس حلاقة,np,剃刀
391,red,أحمر,adj,红色
392,red wine,نبيذ أحمر,np,红酒
393,restaurant,مطعم,np,餐厅
394,rice,أرز,np,米饭
395,right,يمين,part,右边
396,road,شارع,np,路
397,rum,شراب مسكر كحولي (رم),np,朗姆酒
398,runny nose,سيلان الأنف,np,流鼻涕
399,salad, سلطة,np,沙拉
400,salt,ملح,np,盐
401,Saturday,يوم السبت,np,星期六
402,sausage,سجق/نقاق,np,香肠
403,scented tea,شاي معطر,np,花茶
404,second class cabin,مقصورة الدرجة الثانية,np,二等舱
405,See you later.,أراك لاحقاً.,sent,待会见
406,September,أيلول‎/ سبتمبر,np,九月
407,shampoo,شامبو,np,洗发精
408,she,هي,np,她
409,shoulder,كتف,np,肩膀
410,Show me., أرني.,sent,给我看一下。
411,sites to see,مواقع لترى,np,景点
412,slowly,ببطء,adv,慢慢的
413,sneeze,عطسة,np,打喷嚏
414,soap,صابون,np,肥皂
415,"Some more *, pelase.",المزيد من *، من فضلك.,vp,再多一点*，谢谢
416,sore,ملتهب,adj,酸
417,soup,حساء,np,汤
418,south,جنوب,adv,南
419,speed limit,حد السرعة,np,速度限制
420,stomach medicine,دواء للمعدة,np,肠胃药
421,stop (on a street sign),قف,sent,停
422,Stop! Thief!,توقف! لص/سارق‏! ‎,sent,住手！小偷！
423,Stop.,توقف,sent,停。
424,straight ahead,إلى الأمام,sent,往前走
425,street,شارع,np,街
426,sugar,سكر,np,糖
427,sunblock lotion,مرهم حماية من حروق الشمس,np,防晒乳
428,Sunday,الأحد,np,星期天
429,supper,العشاء,np,晚饭
430,"Take me there, please.",خذني إلى هناك من فضلك.,sent,请带我到那里。
431,"Take me to *, please.",خذني إلى *، من فضلك.,vp,请您开到*。
432,tampon,سدادة قطنية للدورة ,np,卫生棉条
433,taxi,تاكسي‏/سيارة أجرة,np,出租车
434,Taxi driver,سائق سيارة أجرة/تاكسي,np,出租车司机
435,tea,شاي,np,茶
436,telephone, هاتف,np,电话
437,telephone, هاتف,np,电话
438,Thank you so much.,شكراً جزيلاً,sent,非常感谢
439,Thank you.,شكراًً,sent,谢谢。
440,That's too expensive.,هذا غال جدا.,sent,太贵了。
441,"The check, please.",الفاتورة، من فضلك.,sent,请结帐。
442,the day after tomorrow,بعد غد,np,后天
443,the day before yesterday,قبل البارحة,np,前天
444,there,هناك,adv,那里
445,There are * of us.,نحن * أشخاص,vp,一共有*个人
446,they (f),هن,np,她们
447,they (m/mixed),هم,np,他们
448,they (two people),هما,np,他们
449,This was very impressive!,كان هذا رائعا جدا!,sent,真的很棒！
450,this week,هذا الأسبوع,np,这个星期
451,throat,حلق,np,喉咙。
452,Thursday,يوم الخميس,np,星期四
453,To *.,إلى *,vp,去*
454,toast,خبز التوست/المحمص,np,吐司
455,today, اليوم,np,今天
456,toes,أصابع القدم,np,脚指。
457,toilet,حمام,np,厕所
458,tomorrow,غداً,np,明天
459,tonic water,مياه مقوية,np,通宁水
460,toothbrush,فرشاة أسنان,np,牙刷
461,toothbrush,فرشاة أسنان,np,牙刷
462,toothbrush,فرشاة أسنان,np,牙刷
463,toothbrush,فرشاة أسنان,np,牙刷
464,toothpaste,معجون أسنان,np,牙膏
465,Towards the *.,نحو ال*.,vp,靠近*
466,train station,محطة القطار,np,火车站
467,Tuesday,يوم الثلاثاء,np,星期二
468,Turn left.,در إلى يسار.,sent,左拐。
469,Turn right.,در إلى يمين.,sent,右拐。
470,TV,‏تلفاز,np,电视
471,U-turn.,منعطف.,sent,掉头。
472,umbrella,مظلة,np,雨伞
473,umbrella,مظلة,np,雨伞
474,umbrella,مظلة,np,雨伞
475,umbrella,مظلة,np,雨伞
476,vegetables,خضروات,np,蔬菜
477,vodka,شراب فودكا,np,伏特加
478,waist, خصر,np,腰
479,Wait or stay?,انتظر أو ابقى؟,sent,等待还是留下来？
480,Wait.,انتظر.,sent,等一下。
481,Watch for the *.,احذر ال*.,vp,注意*
482,water,ماء,np,水
483,we,نحن,np,我们
484,Wednesday,يوم الأربعاء,np,星期三
485,west,غرب,adv,西
486,What is the exchange rate?,ما هو سعر العملة؟,sent,汇率多少？
487,What is this called?,ماذا يدعى هذا؟,sent,这叫什么？
488,What is this?,ما هذا؟,sent,这是什么？
489,What is your name?,ما اسمك؟,sent,你叫什么名字？
490,What is your name?,ما اسمك؟,sent,你叫什么名字？
491,What is your name?,ما اسمك؟,sent,你叫什么名字？
492,What is your name?,ما اسمك؟,sent,你叫什么名字？
493,What is your special dish?,ما هو طبقك المميز؟,sent,你的招牌才是什么
494,What time is breakfast/supper?,ما هو توقيت الفطور/العشاء؟,sent,早/晚餐是什么时候？
495,What time is it?,كم الساعة؟,sent,现在几点？
496,What time will this bus arrive?,متى ستصل هذه الحافلة؟,vp,公车什么时候到？
497,What time will this train arrive?,متى سيصل هذا القطار؟,sent,火车什么时候到？
498,What?,ماذا؟,sent,什么？
499,When do I have to check out?,متى يجب علي تسجيل الخروج؟,sent,何时要退房？
500,When does the bus for * leave?,متى تنطلق الحافلة المتجه إلى*؟,vp,去*的公车什么时候离开？
501,When does the train for * leave?,متى ينطلق القطار المتجه إلى*؟,vp,去*的火车什么时候离开？
502,When is closing time?,ما هو توقيت الإغلاق؟,sent,几点关门？
503,When is opening time?,ما هو توقيت الافتتاح؟,sent,几点开门？
504,When?,متى؟,sent,什么时候？
505,Where are you from?,من أين أنت؟,sent,你从哪里来的？
506,Where are you taking me?,إلى أين أنت آخذني؟,sent,你带我去哪里？
507,Where can I find *?,أين يمكنني أن أجد؟,vp,哪里有*?
508,Where can I get a traveler's check changed?,أين يمكنني أن أصرّف شيك سياحي؟,sent,我在哪里可以兑换这个旅行支票？
509,Where can I get money changed?,أين يمكنني أن أصرّف بعض المال؟,sent,我要在哪里换钱？
510,Where do we get tickets?,أين يمكننا أن نحصل على تذاكر؟,sent,哪里买车票？
511,Where does it hurt?,أين يؤلمك؟,sent,哪里痛？
512,Where does this bus go?,أين تذهب هذه الحافلة؟,sent,这辆巴士去哪里？
513,Where does this train go?,أين يذهب هذا القطار؟,sent,这列火车去哪里？
514,Where is an ATM?,أين توجد آلة الصرف الآلي؟,sent,提款机在哪里？
515,Where is it on the map?,أين تقع على الخريطة؟,sent,在地图上的哪里？
516,Where is the *?,أين ال*؟,vp,*在哪里？
517,Where is the bathroom?,أين الحمام؟,sent,洗手间在哪里？
518,Where is the bus to *?,أين الحافلة المتجهة إلى *؟,vp,到*的巴士在哪？
519,Where is the toilet?,أين الحمام؟,sent,厕所在哪里？
520,Where is the train to *?,أن القطار المتجه إلى *؟,vp,到*的火车在哪？
521,Where?,اين؟,sent,哪里？
522,Which direction?,بأي اتجاه؟,sent,哪个方向？
523,Which station are we at?,نحن في أي محطة؟,sent,我们在哪一站？
524,whiskey,شراب الويسكي,np,威士忌
525,white,أبيض,adj,白色
526,white wine,نبيذ أبيض,np,白酒
527,Who?,من؟,sent,谁？
528,Why?,لماذا؟,sent,为什么？
529,women,نساء,np,女人
530,work,عمل,np,工作
531,wrist,معصم,np,手腕
532,writing paper,ورق للكتابة,np,纸
533,yellow,أصفر,adj,黄色
534,"Yes, please.",نعم من فضلك,sent,是，谢谢
535,Yes.,نعم.,sent,是
536,yesterday, البارحة,np,昨天
537,yield,ينتج,vp,让路
538,you,أنت,np,你
539,you (p), أنتم,np,你们
540,You're cheating me.,"أنت تغشني (s), أنتما تغشانني (two), أنتم تغشونني (more than two)",sent,你在骗我。
541,You're welcome.,على الرحب والسعة,sent,不客气。
542,youth hostel,بيوت الشباب,np,青年旅馆
546,"I'm fine, thank you.",بخير، شكرا لك.,sent,"很好, 谢谢。"
547,Good.,جيد!,sent,好！
548,Great.,عظيم.,sent,很棒！
549,Are you here by yourself?,هل أنت بمفردك؟,sent,
550,How much is *?,كم ثمن *؟,vp,多少钱 *？
551,I don't understand.,أنا لا أفهم,sent,我听不懂。
555,* dollar(s),دولار,prt,美元
556,* pound(s),جنيه,prt,磅
557,* dirham,درهم,prt,迪拉姆
558,* dinar,دينار,prt,第纳尔
559,* yuan,* يوان,prt,*元
560,For one person.,لشخص واحد.,sent,为一个人。
561,For two people.,لشخصين.,sent,为两个人。
562,For * people.,ل* أشخاص.,vp,为*个人。
563,Yeah.,نعم.,vp,是的。
564,Sure.,صحيح!,sent,当然啦!
565,friend,صديق,np,朋友
566,Hi!,مرحبا!,sent,你好！
567,What would you like?,ماذا تحب؟,sent,你喜欢什么？
568,I would like *.,أود *.,vp,我想要 *。
569,mango,مانجو,np,芒果
570,apple,تفاحة,np,苹果
571,* people,* أشخاص,prt,*个人
