,ar,cn,en,pos
0,صفر,零,zero,num
1,واحد,一,one,num
2,إثنان,二,two,num
3,ثلاثة,三,three,num
4,أربعة,四,four,num
5,خمسة,五,five,num
6,ستة,六,six,num
7,سبعة,七,seven,num
8,ثمانية,八,eight,num
9,تسعة,九,nine,num
10,عشرة,十,ten,num
11,مائة,一百,hundred,num
12,مئتين,二百,two hundred,num
13,خمس مائة,五百,five hundred,num
14,ألف,一千,thousand,num
15,ألفين,二千,two thousand,num
16,عشرة آلاف,一万,ten thousand,num
17,عشرون الف,二万,twenty thousand,num
18,خمسون ألف,五万,fifty thousand,num
19,مائة ألف,十万,hundred thousand,num
20,مليون,一百万,million,num
21,عشرة ملايين,一千万,ten million,num
22,مائة مليون,一亿,hundred million,num
23,مليار‎,十亿,billion,num
24,تريليون,一兆,trillion,num
25,من فضلك أعطني * و *.,请给我*和*。,"* and * , please.",vp
26,‏* أيام,*天,* day(s),prt
27,‏* ساعات,*个小时,* hour(s),prt
28,* لا يعمل,坏了,* is not working.,vp
29,‏* دقائق,*分钟,* minute(s),prt
30,*  أشهر,*个月,* month(s),prt
31,‏* أسبوع,*个星期,* week(s),prt
32,‏* سنوات,*年,* year(s),prt
33,قارورة,一瓶,a bottle,np
34,كأس من النبيذ,一杯酒,a glass of wine,np
35,نصف لتر,一品脱,a pint,np
36,طاولة ل * شخص,*人的座位,a table for * people,np
37,بطن,腹部,abdomen,np
38,بعد,之后,after,adv
39,بعد الظهر,下午,afternoon,np
40,مكيف هواء,空调,airconditioner,np
41,طائرة,飞机,airplane,np
42,مطار,机场,airport,np
43,هل أنا معتقل؟,我被捕了吗？,Am I under arrest?,sent
44,أبريل,四月,April,np
45,قريب من هنا,转角,Around the corner.,sent
46,أغسطس,八月,August,np
47,سبيل,大道,avenue,np
48,ظهر,背,back,np
49,مشرب,酒吧,bars,np
50,‏حمام,卫生间,bathroom,np
51,بطارية,电池,batteries,np
52,فول,豆,beans,np
53,ملاءات السرير,床单,bedsheets,np
54,لحم بقري,牛肉,beef,np
55,بيرة,啤酒,beer,np
56,قبل,以前,before,adv
57,أكبر,更大,bigger,adj
58,أسود,黑色,black,adj
59,فلفل أسود,黑胡椒,black pepper,np
60,شاي أسود,红茶,black tea,np
61,أزرق,蓝色,blue,adj
62,الجسم,身体,body,np
63,ماء مغلي,开水,boiled water,np
64,مياه معبأة,矿泉水,bottled water,np
65,خبز,面包,bread,np
66,وجبة افطار,早饭,breakfast,np
67,بني,褐色,brown,adj
68,محطة حافلات,公家车站,bus station,np
69,زبدة,牛油,butter,np
70,مؤخرة,屁股,buttocks,np
71,مقهى,咖啡室,cafe,np
72,هل استطيع الحصول على حقيبة؟,我可以要一个袋子吗？,Can I get a bag?,sent
73,هل أستطيع الحصول على تأمين؟,我可以买保险吗？,Can I get insurance?,sent
74,هل استطيع دفع غرامة أدفع غرامة الآن؟,我可以缴交罚款吗？,Can I just pay a fine now?,sent
75,قائمة الطعام، من فضلك؟,请给我看看菜单.,"Can I look at the menu, please?",sent
76,هل يمكنني الحصول على مكالمة هاتفية؟,我可以打个电话吗？,Can I make a telephone call?,sent
77,هل يمكنني حجز موعد؟,我可以预约吗？,Can I make an appointment?,sent
78,هل استطيع القيام بمكالمة دولية من هنا؟,可以打国际电话吗?,Can I make international calls here?,sent
79,هل يمكنني الطبع من هنا؟,我可以复印吗？,Can I print here?,sent
80,أيمكنني إستخدام هاتفك؟,我可以用您的手机吗？,Can I use your cell phone?,sent
81,أيمكنني استخدام هاتفك النقال؟,我可以用您的电话吗？,Can I use your phone?,sent
82,هل يمكنك تحويل مال لي؟ ,你可以帮我换钱吗？,Can you change money for me?,sent
83,هل يمكنك أن تحضر طبيب؟,你可以帮我找一位医生吗？,Can you get a doctor?,sent
84,هل يمكنك أن تريني أين هو على الخريطة؟,你可以在地图上指给我看?,Can you show me on the map?,sent
85,عل يمكنك تحدث ال*؟,你可以说*吗？,Can you speak *?,vp
86,هل يمكنك اقتراح فندق آخر؟,你有其他推荐的酒店吗？,Can you suggest another hotel?,sent
87,اين *؟,你可以告诉我*在那里吗？,Can you tell me where * is?,vp
88,هل تستطيع إيقاظي الساعة *؟,请在明天早上*点钟叫醒我。,Can you wake me at *?,vp
89,هل يمكنك أن تكتب لي الإسم و العنوان؟,你可以写下名字和地址吗？,Can you write the name and address down?,sent
90,سيارة,汽车,car,np
91,مياه غازية,碳酸水,carbonated water,np
92,أوراق مالية,现金,cash,np
93,رخيص,便宜,cheap,adj
94,أرخص,比较便宜,cheaper,adj
95,شيك,支票,check,np
96,جبنة,奶酪,cheese,np
97,صدر,胸部,chest,np
98,دجاج,鸡,chicken,np
99,أنظف,清洁工,cleaner,np
100,مغلق,关闭,closed,adj
101,صودا,苏打水,club soda,np
102,قهوة,咖啡,coffee,np
103,الكولا,可乐,Coke,np
104,دواء للزكام,感冒药,cold medicine,np
105,سعال,咳嗽,cough,np
106,لو سمحتو هل يمكنك أن *؟,可以请你*吗？,Could you please *?,vp
107,هل يمكنك أن تكرر هذا؟,你可以重复一遍吗？,Could you repeat that?,sent
108,بطاقة ائتمان,信用卡,credit card,np
109,ديسمبر,十二月,December,np
110,وديعة,押金,deposit,np
111,إسهال,泻肚子/拉肚子,diarrhoea,np
112,قاموس,词典,dictionary,np
113,ديزل‎ سولار‎ جاز,柴油,diesel,np
114,هل تقبل العملة *؟,你接受*的货币吗？,Do you accept * currency?,vp
115,هل تقبل بطاقات الائتمان؟,你接受信用卡吗？,Do you accept credit cards?,sent
116,هل تقبل الدولار الأمريكي؟,你接受美元吗？,Do you accept US dollars?,sent
117,هل تذهب إلى *؟,去不去*?,Do you go to *?,vp
118,هل لديك خزنة؟,你们有没有保险箱？,Do you have a safe?,sent
119,هل لديك قائمة بالإنجليزية؟,你有没有英文菜单？,Do you have an English menu?,sent
120,هل لديك أي غرف متاحة؟,你们还有房间吗？,Do you have any rooms available?,sent
121,هل لديك أي وجبات خفيفة؟,有没有小吃？有没有点心？,Do you have any snacks?,sent
122,هل لديك تأمين؟,你有保险吗？,Do you have insurance?,sent
123,هل لديك لون آخر؟,你们有没有另外的颜色?,Do you have it in another color?,sent
124,هل لديكم من هذه بمقاسي؟,有没有我的尺寸？,Do you have this in my size?,sent
125,هل تعلم *؟,你知道*吗？,Do you know *?,vp
126,هل تقدمون أي خمور؟,你们销售酒精类饮品吗？,Do you serve alcohol?,sent
127,هل هن,可以邮寄到海外吗？,Do you ship overseas?,sent
128,هل هناك شحن دولى؟,你会说英语吗？,Do you speak English?,sent
129,هل تقبلون عملة *؟,*元可以吗？,Do you take * currency?,vp
130,مفهوم؟,听得懂吗？,Do you understand?,sent
131,هل هذا يشمل وجبة الافطار؟,早餐包含在内吗？,Does that include breakfast?,sent
132,هل تحتوي هذه الغرفة على *؟,这个房间有没有*？,Does the room come with *?,vp
133,هل تتوقف هذه الحافلة في *؟,这辆巴士停在*吗？,Does this bus stop in *?,vp
134,هل يتوقف هذا القطار في *؟,这列火车停在*吗？,Does this train stop in *?,vp
135,لا تلمسني!,不要碰我！,Don't touch me!,sent
136,وسط البلد,市中心,downtown,np
137,رخصة قيادة,驾驶证件,driver's license,np
138,زلابية,饺子,dumpling,np
139,آذان,耳朵,ears,np
140,شرق,东,east,adj
141,بيض,鸡蛋,eggs,np
142,كتب إنجليزية,英文书,English books,np
143,مجلات انجليزية,英文杂志,English magazines,np
144,جريدة إنجليزية,英文报纸,English newspaper,np
145,دخول,入口,entrance,np
146,مساء,晚上,evening,np
147,ممتاز!,太棒了！,Excellent!,sent
148,أعذرني,打扰一下。,Excuse me. (begging pardon),sent
149,لو سمحت,对不起。,Excuse me. (coming through),sent
150,معذرة,请问。,Excuse me. (getting attention),sent
151,خروج,出口,exit,np
152,غالي,贵,expensive,adj
153,عيون,眼睛,eyes,sent
154,وجه,脸,face,np
155,فبراير,二月,February,np
156,أقدام,脚,feet,np
157,حمة,发烧,fever,np
158,بخير، شكرا لك.,"很好, 谢谢。","Fine, thank you.",sent
159,أصابع,手指,fingers,np
160,مقصورة درجة أولى,头等舱,first class cabin,np
161,سمك,鱼,fish,np
162,وجبة ثابتة السعر,定价套餐,fixed-price meal,np
163,ممنوع,被禁止,forbidden,adj
164,يوم الجمعة,星期五,Friday,np
165,أرز مقلي,炒饭,fried rice,np
166,من,从,from,prt
167,فاكهة,水果,fruits,np
168,محطة بنزين,加油站,gas station,np
169,نظارات,眼镜,glasses,np
170,ذهب,去,go,vp
171,انطلق الى الأمام.,直走,Go straight.,sent
172,ذهب,金色,gold,adj
173,مساء الخير.,晚上好。,Good evening.,sent
174,صباح الخير.,早安。,Good morning.,sent
175,تصبح على خير,晚安。,Good night.,sent
176,مع السلامة,再见。,Goodbye,sent
177,باي باي,拜拜。,Goodbye (informal),sent
178,أخضر,绿色,green,adj
179,شاي أخضر,绿茶,green tea,np
180,رمادي,灰色,grey,adj
181,شعر,头发,hair,np
182,نصف,半,half,adj
183,خنزير,火腿,ham,np
184,أيادي,手,hands,np
185,هو,他,he,np
186,رئس,头,head,np
187,مدفأة,暖气,heater,np
188,مرحبا.,你好。,Hello.,sent
189,النجدة!,救命！,Help!,sent
190,هنا,这里,here,adv
191,هل أنت(ي) هنا لوحدك؟,你自己一个人吗？,Here by yourself?,sent
192,فندق,酒店／旅馆,hotel,np
193,كيف حالك,你好吗？,How are you?,sent
194,كيف أصل إلى *؟,怎么去*?,How do I get to * ?,vp
195,كم سيكلفني الذهاب إلى *؟,去*要多少钱？,How much does it cost to get to *?,vp
196,ما سعر الغرفة لفرد واحد؟,单人房一晚多少钱？,How much is a room for one person per night?,sent
197,ما سعر الغرفة لفردين؟,双人房一晚多少钱？,How much is a room for two people per night?,sent
198,ما سعر التذكرة الى *؟,去*的票多少钱？,How much is a ticket to *?,vp
199,ما السعر للساعة؟,一小时是多少钱？,How much is it per hour?,sent
200,ما سعر المكالمة الى *؟,打给*是多少钱？,How much is it to call to *?,vp
201,ما سعر تذكرة الدخول؟,入场费多少钱？,How much is it to get in?,sent
202,بكم هذا؟,多少钱？,How much is this?,sent
203,بكم؟,多少？,How much?,sent
204,كيف كانت وجبتك؟,这一顿饭怎么样？,How was your meal?,sent
205,انا,我,I,np
206,أنا من *.,我从*来。,I am from *.,vp
207,انا مريض,我生病了。,I am sick.,sent
208,لا أستطيع تحمل هذا,我付不起。,I can't afford it.,sent
209,لا اتكلم *.,我不会讲*。,I can't speak *.,vp
210,لا آكل *.,我不吃*。,I don't eat *.,vp
211,ليس عندي *.,我没有*。,I don't have *.,vp
212,لا أتحدث *.,我不能说*。,I don't speak *.,vp
213,أنا لا أفهم,我听不懂。,I don't understand (something heard).,sent
214,لا أريد *.,我不要*。,I don't want *.,vp
215,أنا لا أريده,我不要。,I don't want it.,sent
216,لدي *.,我有*。,I have *.,vp
217,لقد وصلت.,我到了。,I have arrived.,sent
218,ما عملت اشي غلط.,我没有做错事。,I haven't done anything wrong.,sent
219,فقدت *.,我丢了我的*。,I lost my *.,vp
220,فقدت حقيبتي.,我丢了我的包包。,I lost my bag.,sent
221,احتاج *.,我要*。,I need *.,vp
222,أحتاج طبيب.,我需要医生。,I need a doctor.,sent
223,أ حتاج أن أرى جواز سفرك,我需要看一下你的护照。,I need to see your passport.,sent
224,أريد التحدث مع محامي,我要跟律师联系。,I need to talk to a lawyer.,sent
225,أحتاج مساعدة لو سمحت.,我需要你的帮助。,I need your help.,sent
226,أنا آكل الطعام الحلال فقط.,我只吃清真食品。,I only eat Halal food.,sent
227,أريد *.,我想要*。,I want *.,vp
228,أريد أن آكل طبق مع *.,我想吃*的菜。,I want a dish with *.,vp
229,أريد أن أدفع لاغادر.,我要退房。,I want to check out.,sent
230,أريد ايجار سيارة.,我想要租车。,I want to rent a car.,sent
231,أود بالتحدث مع سّفارة *.,我希望跟*大使馆联系。,I want to talk to the * embassy.,vp
232,سأقيم * ليلى,我打算住*夜。,I will stay for * night(s).,vp
233,أعمل في *.,我在*工作。,I work at the *.,vp
234,أريد ايجار سيارة.,我想租车,I'd like to rent a car.,sent
235,سأتصل بالشرطة‏ ‎.,我会叫警察。,I'll call the police.,sent
236,أنا نباتي.,我吃素的。,I'm a vegetarian.,sent
237,لقد انتهيت.,我完成了。,I'm finished.,sent
238,أبحث عن *.,我在找*,I'm looking for *.,vp
239,أنا تائه.,我迷路了。,I'm lost.,sent
240,أنا لست على ما يرام.,我不舒服,I'm not feeling well.,sent
241,أنا لست مهتم.,我没有兴趣。,I'm not interested.,sent
242,انا مريض.,我生病了。,I'm sick.,sent
243,أنا آسف.,对不起。,I'm sorry.,sent
244,أنا مع *.,我现在跟*在一起,I'm with *.,vp
245,إنني مصاب.,我受伤了。,I've been injured.,sent
246,أنا فقدت *.,我的*不见了,I've lost *.,vp
247,تقاطع,交界,intersection,np
248,هل يتضمن ذلك الإفطار؟,包含早餐吗？,Is breakfast included?,sent
249,هل هذا شامل التأمين؟,包含保险吗？,Is insurance included?,sent
250,هل هو مفتوح *؟,*对外开放吗？,Is it open on *?,vp
251,هل هناك * قريب؟,附近有没有*,Is there * around here?,vp
252,هل هناك * تنصحني به؟,你有推介的*吗？,Is there * you recommend?,vp
253,هل هناك خصم للمجموعات؟,有没有团体折扣？,Is there a group discount?,sent
254,هل هناك تخصص محلي؟,有没有当地特色？,Is there a local specialty?,sent
255,هل هناك خصم للطلاب؟,有没有学生优惠？,Is there a student discount?,sent
256,هل هناك مكان أترك فيه أغراضي؟,有没有地方让我放行李？,Is there anywhere I can leave luggage?,sent
257,هل هناك أحد يتحدث الانجليزية؟,这里有人会说英语吗？,Is there someone here who speaks English?,sent
258,هل هناك خدمة طاولات؟,有没有餐桌服务？,Is there table service?,sent
259,هل هذا المقعد خالى؟,这里有人坐吗？,Is this seat free?,sent
260,أشعر بالألم هنا.,这里很痛,It hurts here.,sent
261,هي التاسعة صباحاً,现在是早上9点钟。,It is nine in the morning.,sent
262,كان سوء تفاهم,这是误会。,It was a misunderstanding.,sent
263,كان لذيذ‏ ‎,很好吃。,It was delicious.,sent
264,إنها حالة طارئة.,这是紧急情况。,It's an emergency.,sent
265,لا بأس,没关系。,"It's okay. (polite response to ""I'm sorry"")",sent
266,إنه غير مريح.,不舒服。,It's uncomfortable.,sent
267,يحكك,痒,itchy,adj
268,يناير,一月,January,np
269,عصير,果汁,juice,np
270,يوليو,七月,July,np
271,يونيو,六月,June,np
272,الأسبوع الماضي,上个星期,last week,np
273,لاحقاً,迟一点,later,adv
274,اتركني وحدي.,不要打扰我。,Leave me alone.,sent
275,يسار,左边,left,adv
276,أرجل,腿,legs,np
277,اقل,少,less,adj
278,أقل من,少于,less than,adj
279,خزانات,储物柜,lockers,np
280,انتبه!,小心！,Look out!,sent
281,غداء,午饭,lunch,np
282,معكرونة,通粉,macaroni,np
283,مارس,三月,March,np
284,مايو,五月,May,np
285,هل لي بالحصول على قارورة *؟,可以来一瓶*吗？,May I have a bottle of *?,vp
286,هل لي بالحصول على كوب من *؟,可以来一杯*吗？,May I have a cup of *?,vp
287,هل لي بالحصول على كأس من *؟,可以来一杯*吗？,May I have a glass of *?,vp
288,هل لي بالحصول على القليل من *؟,可以来一点*吗？,May I have some *?,vp
289,هل لي بالسؤال، ما هو اسمك؟,请问你叫什么名?,"May I please ask, what is your name?",sent
290,هل لي برؤية الغرفة أولاً؟,请问我可以先看一下房间吗？,May I see the room first?,sent
291,أنا أيضاً,我也是,Me too.,sent
292,طارئ طبي,医疗急诊,Medical emergency,np
293,رجال,男人,men,np
294,منتصف الليل,半夜,midnight,np
295,حليب,牛奶,milk,np
296,الاثنين,星期一,Monday,np
297,مال,金钱,money,np
298,أكثر,更,more,adj
299,أكثر من,多于,more than,adj
300,صباح,早上,morning,np
301,لحم الضأن,羊肉,mutton,np
302,أنا اسمي *.,我叫 * 。,My name is * .,vp
303,"أظافر (fingernails), مسامير (hammering nails) ",指甲,nails,np
304,الهوية الوطنية,证件,national ID,np
305,رقبة,脖子,neck,np
306,جرائد,报纸,newspaper,np
307,الأسبوع القادم,下个星期,next week,np
308,سعيد بالتعرف عليك,很高兴认识你。,Nice to meet you.,sent
309,ليلة,晚上,night,np
310,ممنوع الوقوف,禁止停车,No parking.,sent
311,لا، شكراً.,不用了，谢谢。,"No, thank you.",sent
312,لا.,不要,No.,sent
313,الشعيرية,面条,noodles,np
314,الظهيرة,中午,noon,np
315,شمال,北,north,adv
316,أنف,鼻子,nose,np
317,ليس بعيد جداً,不太远,Not too far.,sent
318,نوفمبر,十一月,November,np
319,الآن,现在,now,adv
320,رقم *,数字,Number *.,vp
321,أكتوبر,十月,October,np
322,حسناً، سآخذه.,我要买这个。,"OK, I'll take it.",sent
323,حسناًً,好的,Okay.,sent
324,واحد إضافي، من فضلك.,请再给我一个。,"One more, please.",sent
325,الساعة الواحدة صباحاً,凌晨一点钟,one o'clock AM,np
326,الساعة الواحدة مساءً,下午一点钟,one o'clock PM,np
327,تذكرة واحدة إلى *.,要一张去*的票，谢谢,"One ticket to *, please.",vp
328,اتجاه واحد,单行道,one way,adv
329,مفتوح,开,open,adj
330,"برتقالي (the color or the adjective), برتقال (the fruit)",橙色,orange,np
331,عصير برتقال,柳橙汁,orange juice,np
332,مسكن ألم,止痛药,pain killer,np
333,مؤلم,痛。,painful,adj
334,عذراً/معذرة؟,可以再重复一遍吗？,Pardon me?,sent
335,جواز سفر,护照,passport,np
336,بعد ال*. / بعد أن تتخطى ال*.,传*,Past the *.,vp
337,ادفع,付,pay,vp
338,قلم حبر,笔,pen,np
339,قلم رصاص,铅笔,pencil,np
340,بترول,汽油,petrol,np
341,من فضلك نظف غرفتي.,请清洁我的房间,Please clean my room.,sent
342,من فضلك نظف الصحون.,请洗干净这些碟子,Please clear the plates.,sent
343,أرجوك، تعال/تعالي معي.,请跟我过来,Please come with me.,sent
344,من فضلك أعطني *.,请给我*。,Please give me *.,vp
345,من فضلك شغل المكيف الهوائي.,请把空调开大一点。,Please turn up the AC., sent
346,من فضلك استعمل آلة السحب ببطاقة الائتمان.,请打表。,Please use the meter machine.,sent
347,من فضلك,请。,Please.,adv
348,الشرطة,警察,police, np
349,لحم خنزير,猪肉,pork,np
350,طابع بريدي,邮票,postage stamp,np
351,بطاقة بريدية,明信片,postcard,np
352,اسحب,拉,pull,vp
353,بنفسجي,紫色,purple,adj
354,ادفع,推,push,adv
355,هادئ,安静,quiet,adj
356,موس حلاقة,剃刀,razor,np
357,أحمر,红色,red,adj
358,نبيذ أحمر,红酒,red wine,np
359,مطعم,餐厅,restaurant,np
360,أرز,米饭,rice,np
361,يمين,右边,right,part
362,شارع,路,road,np
363,شراب مسكر كحولي (رم),朗姆酒,rum,np
364,سيلان الأنف,流鼻涕,runny nose,np
365, سلطة,沙拉,salad,np
366,ملح,盐,salt,np
367,يوم السبت,星期六,Saturday,np
368,سجق,香肠,sausage,np
369,شاي معطر,花茶,scented tea,np
370,مقصورة الدرجة الثانية,二等舱,second class cabin,np
371,أراك لاحقاً.,待会见,See you later.,sent
372,سبتمبر,九月,September,np
373,شامبو,洗发精,shampoo,np
374,هي,她,she,np
375,كتف,肩膀,shoulder,np
376, أرني.,给我看一下。,Show me.,sent
377,مواقع لترى,景点,sites to see,np
378,ببطء,慢慢的,slowly,adv
379,عطسة,打喷嚏,sneeze,np
380,صابون,肥皂,soap,np
381,المزيد من *، من فضلك.,再多一点*，谢谢,"Some more *, pelase.",vp
382,ملتهب,酸,sore,adj
383,حساء,汤,soup,np
384,جنوب,南,south,adv
385,حد السرعة,速度限制,speed limit,np
386,دواء للمعدة,肠胃药,stomach medicine,np
387,قف,停,stop (on a street sign),sent
388,توقف! لص/سارق‏! ‎,住手！小偷！,Stop! Thief!,sent
389,توقف,停。,Stop.,sent
390,إلى الأمام,往前走,straight ahead,sent
391,شارع,街,street,np
392,سكر,糖,sugar,np
393,مرهم حماية من حروق الشمس,防晒乳,sunblock lotion,np
394,الأحد,星期天,Sunday,np
395,العشاء,晚饭,supper,np
396,خذني إلى هناك من فضلك.,请带我到那里。,"Take me there, please.",sent
397,خذني إلى *، من فضلك.,请您开到*。,"Take me to *, please.",vp
398,سدادة قطنية للدورة ,卫生棉条,tampon,np
399,تاكسي,出租车,taxi,np
400,سائق تاكسي,出租车司机,Taxi driver,np
