,en,cn,pos
0,Morning. May I help you?,早上好，请问有什么可以帮你的吗?,sent
1,I would like to make flight reservations.,我想预订机票。,sent
2,I want to book one ticket for the next flight to London.,我想预订一张飞往伦敦的下一班机票。,sent
3,Would you please make my reservation to Chicago for tomorrow?,请帮我预订明天去芝加哥的机票好吗?,sent
4,Give me a one-way ticket to L.A.,给我一张单程到洛杉矶的票。,sent
5,"Can I have a second-class one-way ticket to Chicago, please?",请给我一张去芝加哥的单程二等票好吗?,sent
6,When are you leaving?,您何时出发?,sent
7,"What date, please?",请问订哪一天?,sent
8,I'd like to get three seats on a flight to Paris on May *,我想订*张*月*日到巴黎的机票。,vp
9,Do you have any tickets available for that date?,你们有那天的票吗?,sent
10,I'd like to take the first available flight.,我想乘第一班飞机。,sent
11,What time does the plane take off?,飞机何时起飞呢?,sent
12,Let me check the availability.,让我看看还有票吗。,sent
13,"Hold on a second please, Let me see...",请稍等，让我看一下...,sent
14,Just a minute and I'll see if there are any flights.,请等一下，让我看看是否有航班。,sent
15,Just a second and I will check the schedule.,稍等一会儿，我查一下时间表。,sent
16,"Just a monent,please. Let me check for you.",请稍等，我来为您查一下。,sent
17,"Yes, there is.",有的。,sent
18,American Airlines has a flight leaving at * a. m.,美国航空公司有一架班机，在早上*点*分起飞。,vp
19,We have two flights at * p.m. and * p.m.,我们有两次航班，下午*和*的。,vp
20,Both flights have seats available.,两次航班都有座。,sent
21,There are enough seats.,还有很多座位。,sent
22,Is it a direct flight?,是直飞航班吗?,sent
23,Are they non-stop flights?,它们是直飞班机吗?,sent
24,Yes. Direct to Paris.,是的，这是直飞巴黎的飞机。,sent
25,We have a nonstop flight leaving at half past ten.,*点半我们有一个直达航班。,vp
26,There are no direct flights.,没有直达的航班。,sent
27,That is not a direct flight.,那不是直飞的航班。,sent
28,You need to transfer at Tokyo.,你需要在东京转机。,sent
29,"Which would you prefer, first class or economy?",你喜欢哪种，头等舱还是经济舱?,sent
30,"What kind of tickets do you want, first class or economy?",你要什么类型的票，头等舱还是经济舱?,sent
31,Do you want to fly first or economy class?,您要头等舱还是经济舱?,sent
32,What class?,要什么舱位?,sent
33,Business class.,公务舱。,sent
34,"Economy, please.",请买经济舱。,sent
35,I'll need an economy ticket with an open return.,我要经济舱，回程时间不定的来回票。,sent
36,"Only first class tickets available, sir.",现在只有头等舱了，先生。,sent
37,What's the fare for an economy class ticket?,经济舱的票价是多少?,sent
38,What's the fare to New York for the economy class?,去纽约的经济舱机票多少钱?,sent
39,How much is the fare?,票价多少钱?,sent
40,How much is the ticket?,这票多少钱?,sent
41,"What is the fare, please?",请问票价是多少?,sent
42,Will this be a one-way trip?,您要单程票吗?,sent
43,Round trip or one way?,往返还是单程?,sent
44,How much is the round trip?,往返票多少钱?,sent
45,Do you have any direct flights coming back?,回程时你们有直飞的班机吗?,sent
46,One way.,单程。,sent
47,Round trip back to Chicago on Janunary *rd.,我要往返票，*月*日飞回芝加哥。,vp
48,First class fare of a one-way ticket from Beijing to Shanghai is * yuan.,从北京至上海的单程机票，头等舱是*元。,vp
49,* yuan.,*元。,vp
50,Are there any discount tickets for me?,我买票有折扣吗?,sent
51,Will you give me some discount on tickets?,机票能给我折扣吗?,sent
52,No.,没有,sent
53,OK. I will take it.,好的，就这班。,sent
54,I guess that's OK.,我想就那个吧。,sent
55,What kind of seats do you want?,你需要什么样的座位?,sent
56,Would you prefer a window seat or an aisle seat?,你想要一个靠窗的位子，还是靠过道的?,sent
57,Could you give me a window seat?,可以给我靠窗的座位吗?,sent
58,I'd like to have a seat by the window.,我想要一个靠窗的座位。,sent
59,"I'm sorry, but there are no window seats available.",很抱谦，没有靠窗的座位了。,sent
60,Do you have any other seats open where we can sit together?,还有没有其他连在一起的座位?,sent
61,I'd like an aisle seat.,我想要一个走廊的座位。,sent
62,"An aisle seat, please.",请给我一个靠走道的座位。,sent
63,"Aisle, please.",靠过道的。,sent
64,"Would you please tell me your name, telephone and ID number?",能告诉我你的名字、手机号和身份证号码吗?,sent
65,Sure! I'm Liuxia. My phone number is * and ID number is *,当然，我叫刘霞，手机号是*，身份证号是*。,vp
66,"Well, I've got them.",好的，我记下了。,sent
67,Now you have been booked.,现在您已完成订位。,sent
68,Your ticket is in order now.,您的机票现在完全办妥了。,sent
69,Your flight number is BT*,您的航班号是BT*。,vp
70,Your seat is confirmed on flight BT* leaving at *,您的机位以确定，航班号为BT*，*起飞。,vp
71,When shall I come to pick up the ticket?,我什么时候来取票?,sent
72,"Come to pay the fare and fetch your ticket two days before departure, please.",请于起飞前两天来付款取票。,sent
73,Where do I pick up the ticket?,我去什么地方拿机票?,sent
74,What time do I have to be at the airport?,我什么时候到机场?,sent
75,When am I supposed to check in?,我应该什么时候检票呢?,sent
76,What time should I check in?,我应该什么时间办理登机手续呢?,sent
77,You have to be there two hours before departure time.,你要在飞机起飞前两个小时到达那里。,sent
78,Please check in at the airport two hours before departure.,请于起飞前*小时到机场办理登机手续。,vp
79,Try to be there by * and the airport will be crowed.,尽量*到那吧，机场人会很多的。,vp
80,Please be there fourteen o'clock at the latest.,最晚请在*到那里。,vp
81,You'll have to get there by * at the latest. The check-in is half an hour earlier than departure.,最晚*到，因为机场提前半小时检票。,vp
82,You have to be there half an hour before departure time.,你应该在飞机起飞之前半个小时到那。,sent
83,I need to change my flight date.,我需要更改航班日期。,sent
84,"Can you change the reservation, please?",我能更改一下订票的班机吗?,sent
85,Sure.,当然可以。,sent
86,May I have your name?,请问您的姓名?,sent
87,"I'd like to cancel my reservation for the flight on September * and book one on September * instead, please.",我想把*月*日预订的班机取消，改订*月*日的班机。,vp
88,"OK. wait a moment, please. Sorry, that's all sold out.",好，请稍等。对不起，*号的都卖完了。,vp
89,What about September *?,那*月*号的呢?,vp
90,"Let me see. OK, there is only one ticket left, first class and it is * yuan.",让我看看，*号就剩一张了，头等舱*元人民币。,vp
91,Do you have any lower fare?,有比较便宜的机票吗?,sent
92,"Yes, for September * * yuan, OK?",有，*号的，*元，可以吗?,vp
93,All right.,好的。,sent
94,"The balance of the fare is * yuan, you have to pay it by yourself.",票价差额为*元，需要你自理。,vp
95,Where is the check-in counter for China Airlines?,请问中国国际航空公司办理登机手续的柜台在哪里?,sent
96,May I check in here for flight MU * to Tokyo?,这里是去东京的MU*航班登机手续办理处吗?,vp
97,Is this the right counter to check in at?,是在这儿检票吗?,sent
98,Please check-in at zone R.,请到Ｒ区办理登机手续。,sent
99,Please follow the signs for zone R to check in.,请沿着标志引导到Ｒ区办理登机手续。,sent
100,You may check in at the self-service kiosk area in zones G & H.,你可以在G和H区自助服务亭办理登机手续。,sent
101,Check in area.,办理登机区。,sent
102,Check in zone.,办理登机区。,sent
103,Check-in all destinations.,办理飞往世界各地登机手续。,sent
104,What time do you start check-in,？你们何时开始办理登机手续？,sent
105,When can I start to check in?,我什么时候开始办理登机手续?,sent
106,Have your ticket and passport ready for the check-in agent.,请将机票和护照准备好办理登机手续。,sent
107,Please queue for flights to European destinations.,请排队办理前往欧洲各地的登机手续。,sent
108,I'd like to check in.,我要办理登记手续。,sent
109,Would you please help me to get my boarding pass?,可以帮我换登机牌吗?,sent
110,"May I see your passport, please?",可以看看你的护照吗?,sent
111,May I have your passport please?,可以给我您的护照吗。,sent
112,"One economy class seat, is that right",？一个经济舱座位，对吗？,sent
113,How many pieces of luggage do you have?,您有几件行李?,sent
114,You have a lot of baggage.,您有好多行李。,sent
115,Do you have any bages to check?,你有什么行李要托运吗?,sent
116,How many bags do you want to check in?,您要托运几个包裹?,sent
117,Just this one.,就这一个。,sent
118,Please put it here.,请把它放在这里。,sent
119,Please put your baggage on the scale.,请把您的行李放在磅秤上。,sent
120,It's * kilos.,*公斤。,vp
121,I'm afraid it's overweight.,恐怕超重了。,sent
122,Your baggage is overweight.,你的行李超重了。,sent
123,What's the baggage allowance?,行李限重是多少?,sent
124,You can either take out something or pay the excess baggage charge.,您可以把一些东西拿出来，或者付行李超重费。,sent
125,I would rather pay.,我付钱好了。,sent
126,"Here's your ticket, your boarding pass and the tag of your baggage.",这是您的机票、登机牌和行李签。,sent
127,"Here's your ticket, boarding pass, passport and baggage claim tag.",这是您的机票，登机证，护照和行李提领证。,sent
128,Here is your boarding pass.,这是您的登机牌。,sent
129,The boarding time is *,登机时间是*点。,vp
130,Boarding time is * a.m.,登机时间是上午*点*分。,vp
131,Where do I board the plane?,我在哪儿登机?,sent
132,What's the gate number?,在几号门?,sent
133,The gate number is *,登机门是*号。,vp
134,You'll be boarding at Gate *,请将在*号登机门登机。,vp
135,"At gate * go through the security check and turn left, take the moving staircase at the end of the hall, then you will find it.",*号登机口，在通过安检后左转，走到大厅的尽头乘电梯能到。,vp
136,Is there anything else to do before flight time?,在起飞前还有其他手续要办吗?,sent
137,"No, Miss. Just show your ticket to the boarding officer as you get on the plane.",没有，小姐。您登机时只要向工作人员出示机票就可以了。,sent
138,The rest is our job. Have a good trip.,余下的是我们的事，祝您旅途愉快。,sent
139,Airport security.,机场安检。,sent
140,Security check (in).,安检。,sent
141,Security Inspection.,安检。,sent
142,All bags-packages and persons are subject to search.,所有行李包裹以及个人一律接受安检。,sent
143,Please have your luggage checked.,请自觉接受行包安检。,sent
144,Security screening requirements.,安检要求。,sent
145,Quantity allowed to take.,限带物品数量。,sent
146,Regulations on restriction of liquids.,限带液体物品的规定。,sent
147,Maximum storage.,最高限重。,sent
148,"Go this way, please.",请这边走。,sent
149,Queue here.,在此排队。,sent
150,Please put all carry-on luggage in a basket and then place it on the conveyor.,请把所有的随身行李放在一个筐里，然后把筐放在传送带上。,sent
151,"Put your carry-on luggage on the belt, please.",请把你的手提行李放在传送带上。,sent
152,Will you please put your suitcase and that box on the belt?,请把你的手提箱和那个盒子放在传送带上好吗?,sent
153,Please take your computer out and put it in the basket.,请把您的电脑从包里取出放入筐里。,sent
154,Laptop computers must be removed from carry-on and placed on X-ray.,笔记本电脑从随身行李取出接受X光安检。,sent
155,"All portable electronic devices, keys, coins and other metal objects should be placed on X-ray belt in separate container.",便携电器、钥匙、硬币、和其他金属物品置放单独盒内后，放X光安检传送带上。,sent
156,Now put everything from your pockets in this tray and come through the detector.,现在请把口袋里的东西掏出来放在这里，从检测器走过。,sent
157,"Please put all your metallic objects such as coin,cellphone,chewing gum,cigarettes,and anything with Aluminum foil into the basket.",请把您随身携带的所有金属物品，如硬币、手机、口香糖、香烟、以 及带锡纸的物品等放在篮子里。,sent
158,Anything else in your pocket?,口袋里还有其它物品吗？,sent
159,Take off your coat and shoes and put then in the box.,脱掉您的外套和鞋子，把它们放进盒子里。,sent
160,All the leaving passengers must go through this gate.,所有旅客都必须从这个检查口通过。,sent
161,"Go through the gate, please.",请通过安全门。,sent
162,"Walk through the security gate, please.",请走过这个安检门。,sent
163,Please pass through the detector one by one.,请一个一个通过探测门。,sent
164,Stay close.,跟紧。,sent
165,Please come over for inspection.,请过来接受检查。,sent
166,Please open your bag. We'd like to have a look.,请把你的包打开，我们要检查一下。,sent
167,Just make sure you don't have any liquid with you.,我只是要确定你没有携带液体。,sent
168,And would you mind opening your lap-top?,您介意打开您的手提电脑吗?,sent
169,"No, not at all. there you go.",没关系，给你。,sent
170,Please take off your shoes.,请脱掉您的鞋子。,sent
171,Please raise your arms.,请您抬起双臂。,sent
172,Turn around please.,请转身。,sent
173,Should I take off my jacket too?,我还要脱掉夹克吗?,sent
174,Please unbutton your coat.,请把您的衣扣打开。,sent
175,"Take off your belt, please.",请解下您的皮带。,sent
176,"We'll check you by hand, what do you think?",我们用手检，你看如何?,sent
177,You can't have any liquid with you.,您不能携带任何液体。,sent
178,It is a prohibited item.,这是违禁品。,sent
179,These items are forbidden by law.,这些东西是违禁品。,sent
180,You can't take it with you into the aircraft.,您不能把它带上飞机。,sent
181,Flammable items cannot be taken with you into the aircraft.,易燃品不能随身带上飞机。,sent
182,We will have to be confiscated.,我们必须没收。,sent
183,Here is your receipt.,这是给您的没收单据。,sent
184,"We could check it in for you ,or you could have it deposited temporarily at our place for up to one month.",您可以办理托运或在我们这儿办理暂存，我们可以替您保留一个月。,sent
185,"If you can't come back within a month, we won't keep it for you.",如果一个月之内，您不来领的话，我们将不再替您保存。,sent
186,"This is the government's rule. For your own safety and other passangers, we need your understanding and corporation.",这是政府规定的，为了您和其他旅客的安全，请您理解和配合我们的工作。,sent
187,Everything checks out.,一切检查完毕。,sent
188,"Checking is done, thankyou for your corporation.",检查完毕，谢谢合作。,sent
189,You can take your baggage now.,您可以拿行李了。,sent
190,You may go now. Please take your things,.你可以走了，带好你的东西。,sent
191,"Take care, not to leave things behind.",当心不要遗忘携带物品。,sent
192,We are not responsible for items left over * days.,遗忘物品超过*天我们概不负责。,vp
193,I wish you a happy joumey.,祝您旅途愉快。,sent
194,"Attention, please. Due to weather condition, all flights to Taipei will be delayed.",各位旅客请注意，由于气候不佳，所有飞往台北的班机都将延后起飞。,sent
195,The flight is delayed due to bad weather conditions.,由于天气不好航班延误了。,sent
196,We truly regret the delay. Thank you for your cooperation and patience.,我们对此深表谦意，并感谢您的配合与耐心。,sent
197,We will inform you of the new departure time as soon as possible. Thank you.,我们将尽快通知您的新班机的起飞时候，谢谢。,sent
198,I just heard an announcement that my flight has been delayed.,我刚听到广播说我的班机延迟了。,sent
199,What's your flight number?,你的班机号是什么?,sent
200,Flight *-bound for Philadelphia.,*号班机，去费城的。,vp
201,The delay is due to mechanical difficulties.,延迟出发是因为机械故障。,sent
202,Do you know how long it will be?,你知道会延误多久吗?,sent
203,Probably not more than two hours.,大概不会超过两小时。,sent
204,I'm afraid I'll miss my connecting flight.,我会赶不上我下一段的班机了。,sent
205,Is there another flight available?,现在还有别的班机可以坐吗?,sent
206,Just a minute. Let me check.,请等一下，让我看看。,sent
207,"Yes, there is a flight leaving for Philadelphia in ten minutes, but it's full. I could put you on standby if you wish.",有，有一架班机十分钟内去费城，可是已经满座了。我可以把您列为候补，如果您愿意的话。,sent
208,Please put me on the waiting list.,请把我列为候补。,sent
209,"Yes, all right. But if I don't get on that flight, would it be possible to change the connecting flight to Miami?",好吧。可是假如我上不了那架飞机，能换一班转飞迈阿密的班机吗?,sent
210,Let's see... there's a United flight leaving Philadelphia at * this evening.,我看一下...今天晚上七点四十五分联合航空公司有一班机由费城起飞。,vp
211,"Could you get me on that flight, please?",能设法让我搭上那班飞机吗?,sent
212,"Yes, I'll check to see if there's any space left.",好，我查查看还有没有剩余位置。,sent
213,Gate.,登机口。,sent
214,Departure Gate.,登机口。,sent
215,Boarding Gate.,登机口。,sent
216,Where is the boarding gate for this flight?,这班飞机的登机口在哪儿?,sent
217,Where is the gate?,登机口在哪儿?,sent
218,Go straight following the sign ang you will see the gate.,跟着指示走，你将看到登机口。,sent
219,"The next flight available for boarding is to Lincoln, Nebraska.",下一班可以登机的航班是飞往内布拉斯加州，林肯市。,sent
220,What is the boarding time?,什么时候登机呢?,sent
221,When is the boarding time?,什么时候登机呢?,sent
222,Thai Airlines flight TG * to Bangkok is now boarding.,飞往曼谷的泰航TG*班，已经开始登机。,vp
223,"Passengers in the first class, please proceed to the boarding gate now.",请头等舱的旅客前往登机门。,sent
224,Welcome aboard.,欢迎登机。,sent
225,"Boarding passes and IDs, please!",请出示登记证和身份证!,sent
226,Please have your ticket or boarding card ready for inspection.,请把机票和登机牌准备好接受检查。,sent
227,Please have photo identification ready for inspection.,请准备好带照片的身份证接受检查。,sent
228,"Can I see your ticket, please?",我可以看看你的票吗?,sent
229,Would you please show me your ticket and boarding pass?,请出示一下你的机票和登机牌好吗?,sent
230,Here are my passport and ticket.,这是我的护照和机票。,sent
231,Enjoy your flight!,飞行愉快!,sent
232,Have a nice flight!,飞行愉快!,sent
233,It's boarding now.,现在正在登机。,sent
234,Closing.,登机口关闭。,sent
235,Terminal * Departure.,*号候机楼。,vp
236,Terminal * & Cargo.,*号货运航班候机楼。,vp
237,Departures.,出港。,sent
238,Domestic Departure.,国内出发。,sent
239,Domestic Flights.,国内航班。,sent
240,Waiting And Boarding.,候机和登机。,sent
241,Waiting Room.,候机厅。,sent
242,Waiting Hall.,候机厅。,sent
243,Waiting Lounge.,候机厅。,sent
244,Departure Lounge.,候机厅。,sent
245,Very Important Person(VIP) Suite.,贵宾候机厅。,sent
246,Lounge Pavilion.,贵宾候机亭。,sent
247,International Passenger Lobby.,国际旅客候机厅。,sent
248,Transit Passenger.,过境旅客。,sent
249,Area Of Customs Control.,海关监管区。,sent
250,Customs Declaration form.,海关申请表。,sent
251,Customs Declaration Counter.,海关申报台。,sent
252,Security Office.,保安部。,sent
253,Luggage Car.,行李车。,sent
254,Trolley.,行李手推车。,sent
255,Luggage Weighting.,行李称重处。,sent
256,Left Baggage.,行李寄存。,sent
257,Luggage Storage (Counter).,行李寄存（处）。,sent
258,Baggage Rack.,行李架。,sent
259,Luggage Inspection.,行李检查台。,sent
260,Luggage Delivery.,行李交付。,sent
261,Baggage Claim (Area).,行李提取（区）。,sent
262,Notice On Luggage Check-In.,行包托运须知。,sent
263,Restriction of hand carry-on articles.,随身携带的物品限制规定。,sent
264,Goods Prohibited To Be Hand-Carried.,禁止随身携带的物品。,sent
265,Goods Prohibited To Exit The Country.,禁止携带出境的物品。,sent
266,No Smoking Except In Designated Area.,除指定区域外，禁止吸烟。,sent
267,Express Pass.,快速通道。,sent
268,Emergency Exit.,紧急出口。,sent
269,Exit To All Routes.,各通道出口。,sent
270,Airport Bus.,机场巴士。,sent
271,Shuttle Bus.,机场巴士。,sent
272,Airport Limousine.,机场班车。,sent
273,Airport Shuttle.,机场班车。,sent
274,Missing People Help Line.,走失求救热线。,sent
275,Lost Child Information.,走失儿童认领。,sent
276,Pilot's Cockpit.,飞行员驾驶舱。,sent
277,Fasten Seat Belt While Seated.,就坐后请系好安全带。,sent
278,Earphone Set.,耳机。,sent
279,In-Flight.,飞行中。,sent
280,Flying Time.,飞行时间。,sent
281,Speed Per Hour.,飞行速度。,sent
282,Departure Time On Reverse.,返航时间。,sent
283,Where is my seat?,我的座位在哪儿?,sent
284,Where is seat *A? *,A号座位在哪儿?,vp
285,Can you tell me where seat *A is?,你能告诉我*A座位在哪儿吗?,vp
286,Can you show me the way to my seat?,你能指给我的座位吗?,sent
287,Can you help me find my seat?,你能帮我找到我的座位吗?,sent
288,Your seat is in the middle of the cabin.,您的座位在客舱的中部。,sent
289,It's over there next to the window.,就在那里，靠窗的那一个。,sent
290,Is this seat *A?,这个座位是*A吗?,vp
291,Excuse me. You have my seat.,不好意思，你坐到我的位子了。,sent
292,I think this is my seat.,我想这是我的座位。,sent
293,This is supposed to be my seat.,这应该是我的座位了。,sent
294,Our seats are separated.,我们的座位是分开的。,sent
295,Do you have any empty seats together somewhere?,哪有在一起的空座位呢?,sent
296,We'd like to sit together.,我们想坐在一起。,sent
297,Do you mind changing seats with me?,你介意跟我换下座位吗?,sent
298,Can I change seats with you?,我可以跟你换位子吗?,sent
299,Would it be possible for us to trade seats?,我们可以交换座位吗?,sent
300,Can I move to an empty seat over there?,我可以移到那边的空座位吗?,sent
301,Can I take one of those empty saets over there?,我可以坐在那边其中的一个空座吗?,sent
302,Could you please help me put my baggage up there?,可以帮我把行李放上去吗?,sent
303,The overhead compartments are all full.,上面的行李箱都满了。,sent
304,I can't get my bag to fit into the overhead compartment.,我的包放不进上面的行李箱了。,sent
305,Where can I put my baggage?,我的行李放哪儿呢?,sent
306,Please put your package under your seat.,请把你的行李放在座位下面。,sent
307,You can place the baggage under the seat in front of you.,您可以将行李放在前面的座位下面。,sent
308,How do I recline my seat?,我怎么让我的椅子躺下?,sent
309,"Could you put your seat up, please?",请竖直椅背好吗?,sent
310,Please keep your seat belt fastened.,请系好安全带。,sent
311,"Put on your seat belt, please.",请系好安全带。,sent
312,Can you tell me how to fasten the seat belt?,您能告诉我怎么系安全带吗?,sent
313,Can you tell me how to unfasten the seat belt?,您能告诉我安全带怎么解开吗?,sent
