,en,cn,pos
980,Go all the way to the back and turn right.,往里走到头然后右转。,sent
981,I'd like some bananas.,我想要些香蕉。,sent
982,How much dose this meat weight?,这肉有多重?,sent
983,Could you weight this?,你能称一下这个吗?,sent
984,Slice me half a kilo of beef.,给我切一斤牛肉。,sent
985,Give me a pound of tomatoes and a pound of eggplants.,给我一磅番茄和一磅茄子。,sent
986,OK. Anyting else?,好的，还要其它的吗?,sent
987,Do you sell organic vegetables here?,你们卖有机蔬菜吗?,sent
988,"Yes, we do. They're right in front of you.",有的，就在你面前。,sent
989,You should have a sign. That way people could identify which are organic and which aren't.,你们应该要有标识，让顾客知道哪些是有机蔬菜，那些不是。,sent
990,"The organic vegetables are marked with the blue label. Here, do you see?",有机蔬菜都有蓝色的标签。在这里，看到了吗?,sent
991,They're labeled on the packet.,它们在包装上有标示。,sent
992,There is no price on this item.,这上面没有标价。,sent
993,This item is not priced.,这上面没有标价。,sent
994,We need to buy some soya sauce. Which aisle is the soya sauce in?,我们想买一些酱油，酱油在哪一个通道?,sent
995,That would be in aisle * with the condiments. It is right next to the ketchup.,在第七走道，和调味品一起，就在番茄酱的旁边。,vp
996,We have a clearance sale today.,我们今天清仓大处理。,sent
997,The price will go down.,价格将会下降。,sent
998,Do you have this in stock?,这个还有存货吗?,sent
999,Do you have more of this item in stock?,这种商品还有存货吗?,sent
1000,I'm afraid We don't have it in stock.,恐怕已经没有存货了。,sent
1001,I'm afraid we're out of that item.,恐怕那种货已经卖完了。,sent
1002,Sorry. It's out of stock now.,对不起，已经脱销了。,sent
1003,Easy to use and great value too.,好用实惠，物美价廉。,sent
1004,What time do you open?,你们几点开始营业?,sent
1005,What time do you close?,你们几点开始关门?,sent
1006,airport,机场,np
1007,domestic airport,国内机场,np
1008,ramp,停机坪,np
1009,control tower,机场控制台,np
1010,airport terminal,机场候机楼,np
1011,waiting room,候机厅,np
1012,waiting lounge,候机厅,np
1013,main lobby,主候机厅,np
1014,lounge pavilion,贵宾候机亭,np
1015,assistance,问讯处,np
1016,information,问讯处,np
1017,ticket office,售票处,np
1018,check in area,办理登机区,np
1019,passport control immigration,护照检查处,np
1020,lost and found,失物招领处,np
1021,bus,公共汽车,np
1022,airports shuttle,机场班车,np
1023,taxipick-up point,出租车乘车点,np
1024,women's,女厕,np
1025,hotel reservation,订旅馆,np
1026,travel agency,旅行社,np
1027,duty-free shop,免税店,np
1028,cafe,咖啡馆,np
1029,bakery,面包店,np
1030,filling station,加油站,np
1031,post office,邮局,np
1032,office hours,办公时间,np
1033,pause,暂停,np
1034,parting,停车处,np
1035,airport lounges,机场休息室,np
1036,customers lounges,旅客休息室,np
1037,plane ticket,飞机票,np
1038,international flight,国际班机,np
1039,name of passenger,旅客姓名,np
1040,plane no,机号,np
1041,round-trip ticket,来回机票,np
1042,first class,头等舱,np
1043,economy class,经济舱,np
1044,to,前往城市,np
1045,date,起飞日期,np
1046,scheduled time,预计时间,np
1047,airport fee,机场费,np
1048,carrier,承运公司,np
1049,automatic ticket machine,自动售票机,np
1050,domestic flights,国内航班,np
1051,arrivals,进港,np
1052,transit,过境,np
1053,domestic departure,国内航班出站,np
1054,stairs and lifts to departures,由此乘电梯前往登机,np
1055,exit,出口,np
1056,exit to all routes,各通道出口,np
1057,upstairs,由此上楼,np
1058,push,推,np
1059,shut,此路不通,np
1060,no visitors,游人止步,np
1061,no admittance,闲人免进,np
1062,wet paint,油漆未干,np
1063,off,关,np
1064,give way,快车先行,np
1065,no smoking,禁止吸烟,np
1066,no photos,请勿拍照,np
1067,no litter,勿乱扔杂物,np
1068,do not pass,禁止超车,np
1069,u turn ok,可以U形转弯,np
1070,staff only,本处职工专用,np
1071,keep silence,保持安静,np
1072,not for sale,恕不出售,np
1073,beware of pickpocket,谨防扒手,np
1074,for use only in case of fire,灭火专用,np
1075,protect public propety,爱护公共财物,np
1076,commit no nuisance,禁止小便,np
1077,children and women first,妇女、儿童优先,np
1078,"road up, detour",马路施工，请绕行,np
1079,baggage,行李,np
1080,luggage,行李,np
1081,checked baggage,托运的行李,np
1082,luggage claim,行李领取处,np
1083,luggage cart,行李推车,np
1084,luggage depository,行李存放处,np
1085,luggage from flights,到港行李,np
1086,luggage reclaim,取行李,np
1087,please leave your luggage with you at all times,请随身携带你的行李,np
1088,fragile,易碎,np
1089,handle with care,小心轻放,np
1090,take care not to leave things behind,当心不要丢失东西,np
1091,short stay,短暂停留,np
1092,airport security,机场安检,np
1093,security inspection,安检,np
1094,pocket,口袋,np
1095,coin,硬币,np
1096,lap-top,手提电脑,np
1097,cigarette,香烟,np
1098,basket,篮子，筐,np
1099,conveyor,输送带,np
1100,detector,探测器，检测器,np
1101,take off,脱掉,np
1102,flammable item,易燃物品,np
1103,forbidden,被禁止,np
1104,receipt,单据，收据,np
1105,temporarily,暂时，临时,np
1106,boarding,登机,np
1107,to board a plane,上飞机,np
1108,seat by number,对号入座,np
1109,stewardess,女空服员,np
1110,passenger manifest,乘客名单,np
1111,emergency exits,紧急出口,np
1112,oxygen mask,氧气罩,np
1113,armrest,座椅扶手,np
1114,foot rest,坐着的时候放脚的支撑物,np
1115,occupied,有人,np
1116,galley,飞机上的厨房,np
1117,blanket,毛毯,np
1118,smoking seat,吸烟坐位,np
1119,airsick,晕机,np
1120,direct flight,直飞,np
1121,flight,飞行,np
1122,bumpy flight,不平稳的飞行,np
1123,to face the wind,迎风,np
1124,altitude,高度,np
1125,forced landing,迫降,np
1126,customs,海关,np
1127,customs service area,海关申报处,np
1128,customs declaration form,海关申请表,np
1129,currency declaration,货币申报,np
1130,family name,姓,np
1131,year,年,np
1132,day,日,np
1133,sex,性别,np
1134,female,女,np
1135,country of citizenship,国籍,np
1136,passport no,护照号,np
1137,occupation,职业,np
1138,legislators &administrators,行政管理人员,np
1139,commerce,商业人员,np
1140,farmer,农民,np
1141,jobless,无业,np
1142,destination country,前往目的地国,np
1143,city where visa was issued,签证签发地,np
1144,address while in,前往国家的住址,np
1145,official use only,官方填写,np
1146,signature,签名,np
1147,passenger plane,客机,np
1148,propeller-driven aircraft,螺旋桨飞机,np
1149,helicopter,直升机,np
1150,boeing,波音,np
1151,ilyusin,依柳辛,np
1152,trident,三叉戟,np
1153,delayed,延误,np
1154,transfer passengers,中转旅客,np
1155,international airport,国际机场,np
1156,jetway,飞机跑道,np
1157,heliport,直升飞机场,np
1158,satellite,卫星楼,np
1159,international passenger lobby,国际旅客候机厅,np
1160,international terminal,国际候机楼,np
1161,waiting hall,候机厅,np
1162,departure lounge,候机厅,np
1163,vip suite,贵宾候机厅,np
1164,greeting arriving,迎宾处,np
1165,inquiries,问讯处,np
1166,help desk,问讯处,np
1167,money exchange,货币兑换处,np
1168,check-in,登机手续办理,np
1169,flight connections,转机处,np
1170,lost property,失物招领,np
1171,public phone,公用电话,np
1172,coachpick-up point,大轿车乘车点,np
1173,airline coach service,航空公司汽车服务处,np
1174,car hire,租车处,np
1175,men's bathroom,男厕,np
1176,pub,酒店,np
1177,visitors please register,来宾登记,np
1178,restaurant,餐厅,np
1179,bar,酒巴,np
1180,laundry,洗衣店,np
1181,bank,银行,np
1182,business hours,营业时间,np
1183,open,营业,np
1184,stop,关闭,np
1185,closed,下班,np
1186,bike parking,自行车存车处,np
1187,domestic flight,国内班机,np
1188,ticket confirm,机票确认,np
1189,flight number,班机号码,np
1190,one-way ticket,单程机票,np
1191,fare class,座舱等级,np
1192,business class,商务客舱,np
1193,from,起点城市,np
1194,good for passage between,旅行经停地点,np
1195,departure time,起飞时间,np
1196,seat no,机座号,np
1197,status,订座情况,np
1198,boarding pass,登机牌,np
1199,departures,出港,np
1200,transfers,中转,np
1201,international departure,国际航班出港,np
1202,boarding gate,登机口,np
1203,entrance,入口,np
1204,emergency exit,安全出口,np
1205,keep right,靠右,np
1206,keep left,靠左,np
1207,downstairs,由此下楼,np
1208,pull,拉,np
1209,no passing,禁止通行,np
1210,no entry,禁止入内,np
1211,dogs not allowed,禁止携犬入内,np
1212,on,打开（ 放）,np
1213,danger,危险,np
1214,safety first,安全第一,np
1215,no smoking except in designated area,除指定区域外，禁止吸烟,np
1216,no honking,禁止鸣喇叭,np
1217,toll free,免费通行,np
1218,no u turn,禁止掉头,np
1219,sos,紧急求救信号,np
1220,hands off,请勿用手摸,np
1221,no bills,不准张贴,np
1222,poison,有毒,np
1223,complaint box,意见箱,np
1224,keep dry,保持干燥,np
1225,wipe your shoes and boots,请擦去鞋上的泥土,np
1226,admission free,免费入场,np
1227,reduced speed now,减速行驶,np
1228,carry-on baggage,随身行李,np
1229,baggage claim area,行李领取处,np
1230,baggage tag,行李牌,np
1231,left baggage,行李寄存,np
1232,luggage locker,行李暂存箱,np
1233,luggage pick up,取行李,np
1234,reclaim belt,取行李传送带,np
1235,keep top side up,请勿倒立,np
1236,this side up,此面向上,np
1237,net（weight）,净重,np
1238,keep away from fire,切勿近火,np
1239,queue here,在此排队,np
1240,stay close,跟紧,np
1241,security check,安检,np
1242,passport control,入境检验,np
1243,metallic,金属的,np
1244,object,物品，物体,np
1245,cellphone,手机,np
1246,chewing gum,口香糖,np
1247,aluminum foil,铝箔,np
1248,belt,带，传送带,np
1249,through,通过，经过,np
1250,inspection,检查,np
1251,unbutton your coat,解开外衣扣子,np
1252,prohibited item,违禁物品,np
1253,confiscated,没收,np
1254,welcome aboard,欢迎登机,np
1255,to get off a plane,下飞机,np
1256,captain,机长,np
1257,steward,男空服员,np
1258,pre-flight safety demonstration,飞行安全示范,np
1259,seat belt,安全带,np
1260,reading light,阅读灯,np
1261,lavatory,盥洗室,np
1262,vacant,无人,np
1263,food trolley,送餐车,np
1264,pillow,枕头,np
1265,non-smoking seat,非吸烟席,np
1266,air route,航线,np
1267,take-off,起飞,np
1268,smooth flight,平稳的飞行,np
1269,non-stop flight,连续飞行,np
1270,to fly with the wind,顺风,np
1271,speed,速度,np
1272,top speed,最高速度,np
1273,to lose height,降低,np
1274,turbulence,飞机颠簸,np
1275,circling,盘旋,np
1276,landing,着陆,np
1277,disembark,下机,np
1278,area of customs control,海关监管区,np
1279,customs declaration counter,海关申报台,np
1280,nothing to declare,无报关,np
1281,something) to declare,有报关,np
1282,nothing to declare,无申报通道,np
1283,first name,名,np
1284,month,月,np
1285,date of birth,出生日期,np
1286,male,男,np
1287,nationality,国籍,np
1288,country of origin,原住地,np
1289,accompanying number,偕行人数,np
1290,professionals & technical,专业技术人员,np
1291,clerk,办事员,np
1292,service,服务人员,np
1293,worker,工人,np
1294,others,其他,np
1295,city where you boarded,登机城市,np
1296,date issue,签发日期,np
1297,number and street,街道及门牌号,np
1298,city and state,城市及国家,np
1299,airliner,班机,np
1300,jet aircraft,喷气式飞机,np
1301,airbus,空中客车,np
1302,concord,协和,np
1303,mcdonald-douglas,麦道,np
1304,tupolev,图波列夫,np
1305,international passengers,国际航班旅客,np
1306,coffee,咖啡,np
1307,instant coffee,速溶咖啡,np
1308,iced coffee,冰咖啡,np
1309,iced mint coffee,冰薄荷咖啡,np
1310,espresso,意大利浓咖啡,np
1311,tarrazu coffee,塔拉珠高山咖啡,np
1312,tres rios coffee,特雷里奥咖啡,np
1313,saronno coffee,杏香咖啡,np
1314,rose lady coffee,玫瑰夫人咖啡,np
1315,iced swiss coffee,瑞士冰咖啡,np
1316,royal coffee,皇家咖啡,np
1317,irish coffee,爱尔咖啡,np
1318,dame coffee,贵妇人咖啡,np
1319,colombian coffee,哥伦比亚咖啡,np
1320,blue mountain coffee,蓝山咖啡,np
1321,brazilian coffee,曼特林咖啡,np
1322,cafe americano,美式咖啡,np
1323,iced pineapple americano,菠萝冰美式,np
1324,iced peach americano,蜜桃冰美式咖啡,np
1325,french coffee,法式滴滤咖啡,np
1326,decaffeinated coffee,低因咖啡,np
1327,iced cappuccino,冰卡布奇诺,np
1328,iced vanilla cappuccino,冰香草卡布奇诺,np
1329,iced fruit cappuccino,果味冰卡布奇诺,np
1330,lavender cappuccino,薰衣草卡布奇诺,np
1331,hazelnut cappuccino,榛子卡布奇诺,np
1332,iced caramel latte,冰焦糖咖啡拿铁,np
1333,iced hazelnut latte,冰榛子咖啡拿铁,np
1334,iced strawberry latte,冰草莓咖啡拿铁,np
1335,blackberry latte,黑莓咖啡拿铁,np
1336,lavender latte,薰衣草咖啡拿铁,np
1337,iced blackberry latte,黑莓冰咖啡拿铁,np
1338,iced peach latte,蜜桃冰咖啡拿铁,np
1339,cherry latte,樱桃咖啡拿铁,np
1340,hazelnut latte,榛子咖啡拿铁,np
1341,espresso con panna,浓缩咖啡康保蓝,np
1342,iced mochaccino,冰摩卡,np
1343,cherry mocha,樱桃摩卡咖啡,np
1344,mango mocha,芒果摩卡咖啡,np
1345,iced fruit coffee,冰水果咖啡,np
1346,iced coffee float,漂浮冰咖啡,np
1347,dinner knife,正餐刀,np
1348,butter knife,牛油刀,np
1349,steak knife,扒刀,np
1350,dessert spoon,甜品勺,np
1351,soup spoon,汤勺,np
1352,soda spoon,冻茶勺,np
1353,ice tongs,冰夹,np
1354,service fork,服务叉,np
1355,ladle,长把勺,np
1356,soup bowl,汤碗,np
1357,coffee cup,咖啡杯,np
1358,coffee mug,咖啡杯,np
1359,desscrt plate,甜品碟,np
1360,butter plate,牛油碟,np
1361,sugar bowl,糖盅,np
1362,tea pot,茶盅,np
1363,water glass,水杯,np
1364,high ball,高杯,np
1365,rock,洛杯,np
1366,ingredients,配料,np
1367,green onion,葱,np
1368,pepper,胡椒,np
1369,pickle,咸菜,np
1370,onion,洋葱,np
1371,butter,黄油,np
1372,olive oil,橄榄油,np
1373,sesame oil,香油,np
1374,salt,盐,np
1375,sugar,糖,np
1376,granulated sugar,砂糖,np
1377,rock sugar,冰糖,np
1378,msg,味精,np
1379,mustard,芥末,np
1380,ketchup,番茄酱,np
1381,jam,果酱,np
1382,peanut,花生酱,np
1383,honey,蜂蜜,np
1384,maggi,美极油,np
1385,oyster sauce,蚝油,np
1386,vinegar,醋,np
1387,menu,菜单,np
1388,captain orde,点菜本,np
1389,toothpick,牙签,np
1390,napkin,餐巾，餐布,np
1391,ashtra,烟盅,np
1392,stir stick,搅棒,np
1393,tray,托盘,np
1394,coffee warmer,咖啡炉,np
1395,chocolate coffee,巧克力咖啡,np
1396,fresh ground coffee,现磨咖啡,np
1397,iced espresso,浓缩冰咖啡,np
1398,italian coffee,意大利咖啡,np
1399,cappuccino,意大利泡沫咖啡,np
1400,charcoal coffee,碳烧咖啡,np
1401,vienna coffee,维也纳咖啡,np
1402,hawaiian kona coffee,夏威夷可娜咖啡,np
1403,iced mexican coffee,墨西哥冰咖啡,np
1404,brazil coffee,巴西咖啡,np
1405,cointreau coffee,君度咖啡,np
1406,ginger juice coffee,生姜咖啡,np
1407,coconut coffee,椰香咖啡,np
1408,jamaican coffee,牙买加咖啡,np
1409,brazil santos coffee,巴西山度士咖啡,np
1410,cafe latte,拿铁咖啡,np
1411,iced cafe americano,冰美式咖啡,np
1412,iced mango americano,芒果冰美式咖啡,np
1413,iced banana americano,香蕉冰美式,np
1414,iced french coffee,冰法式滴滤,np
1415,iced caramel cappuccino,冰焦糖卡布奇诺,np
1416,iced hazelnut cappuccino,冰榛子卡布奇诺,np
1417,fruit cappuccino,果味卡布奇诺,np
1418,vanilla cappuccino,香草卡布奇诺,np
1419,iced cafe latte,冰拿铁咖啡,np
1420,iced vanilla latte,冰香草咖啡拿铁,np
1421,iced pineapple latte,冰菠萝咖啡拿铁,np
1422,iced fruit latte,冰果味咖啡拿铁,np
1423,vanilla bean latte,拿铁香草,np
1424,iced coconut latte,椰子冰咖啡拿铁,np
1425,iced mango latte,芒果冰咖啡拿铁,np
1426,peach latte,蜜桃咖啡拿铁,np
1427,iced cherry latte,樱桃冰咖啡拿铁,np
1428,banana latte,香蕉咖啡拿铁,np
1429,espresso macchiato,浓缩咖啡玛奇朵,np
1430,iced strawberry mocha,草莓摩卡咖啡,np
1431,coconut mocha,椰子摩卡咖啡,np
1432,banana mocha,香蕉摩卡咖啡,np
1433,french vanilla coffee,法国香草咖啡,np
1434,iced chocolate coffee,巧克力冰咖啡,np
1435,dinner for,正餐叉,np
1436,dessert knife,水果刀,np
1437,cake knife,柄铲,np
1438,dessert for,甜品叉,np
1439,vice spoo,服务勺,np
1440,teaspoon,茶勺,np
1441,service tongs,服务夹,np
1442,demi-spoon,小咖啡勺,np
1443,rice bowl,饭碗,np
1444,dish,碟子,np
1445,saucer,咖啡碟,np
1446,bread plate,面包碟,np
1447,creamer,奶勺,np
1448,coffee pot,咖啡壶,np
1449,espresso cup,特浓杯,np
1450,juice glass,果汁杯,np
1451,beer glass,啤酒杯,np
1452,wineglass,酒杯,np
1453,garlic,蒜,np
1454,ginge,姜,np
1455,hot red pepper,辣椒,np
1456,herb,香草,np
1457,lemon,柠檬,np
1458,oil,油,np
1459,salad oil,色拉油,np
1460,condiments,调料,np
1461,iodized salt,加碘盐,np
1462,refined sugar,白糖,np
1463,brown sugar,红糖,np
1464,sesame,芝麻,np
1465,curry,咖喱,np
1466,salad dressing,沙拉酱,np
1467,tomato juice,番茄汁,np
1468,marmalade,酸果酱,np
1469,sesame paste,芝麻酱,np
1470,tabasco,辣椒仔,np
1471,soy sauce,酱油,np
1472,cheese powder,芝士粉,np
1473,chili sauce,辣椒酱,np
1474,drink list,酒水单,np
1475,pepper shaker,胡椒瓶,np
1476,salt shaker,盐瓶,np
1477,toothpick tuble,牙签筒,np
1478,paper napkin,纸巾,np
1479,straw,吸管,np
1480,coaste,杯垫,np
1481,cover,菜盖,np
1482,vase,花瓶,np
1483,name,姓名,np
1484,alias,别名,np
1485,miss,小姐,np
1486,mrs,太太,np
1487,in,英寸,np
1488,weight,体重,np
1489,age,年龄,np
1490,birthdate,出生日期,np
1491,born,生于,np
1492,permanent address,永久住址,np
1493,current address,目前住址,np
1494,duel citizenship,双重国籍,np
1495,native place,籍贯,np
1496,autonomous region,自治区,np
1497,city,市,np
1498,district,区,np
1499,street,街,np
1500,house number,门牌,np
1501,business phone,办公电话,np
1502,home phone,住宅电话,np
1503,id card,身份证,np
1504,single,未婚,np
1505,separated,分居,np
1506,family status,家庭状况,np
1507,health condition,健康状况,np
1508,excellent,（身体）极佳,np
1509,far-sighted,远视,np
1510,educational background,教育程度,np
1511,educational history,学历,np
1512,government-supportedstudent,公费生,np
1513,intern,实习生,np
1514,day-student,走读生,np
1515,auditor,旁听生（美）,np
1516,prize fellow,奖学金生,np
1517,abroad student,留学生,np
1518,degree,学位,np
1519,master,硕士,np
1520,post doctorate,博士后,np
1521,academic year,学年,np
1522,in-job training,在职培训,np
1523,curriculum,课程,np
1524,specialized courses,专门课程,np
1525,major,主修,np
1526,able,有才干的，能干的,np
1527,active,主动的，活跃的,np
1528,ambitious,有雄心壮志的,np
1529,amicable,友好的,np
1530,apprehensive,有理解力的,np
1531,cooperative,有合作精神的,np
1532,dutiful,尽职的,np
1533,humorous,有幽默,np
1534,temperate,稳健的,np
1535,responsible,负责的,np
1536,expressivity,善于表达,np
1537,energetic,精力充沛的,np
1538,realistic,实事求是的,np
1539,industrious,勤奋的,np
1540,genteel,有教养的,np
1541,work experience,工作经历,np
1542,professionalhistory,职业经历,np
1543,good at,擅长于,np
1544,achievements,工作成就，业绩,np
1545,pen name,笔名,np
1546,mr,先生,np
1547,ms,小姐或太太,np
1548,height,身高,np
1549,ft,英尺,np
1550,bloodtype,血型,np
1551,birthday,生日,np
1552,date of birth,出生日期,np
1553,birthplace,出生地点,np
1554,address,地址,np
1555,citizenship,国籍,np
1556,nationality,民族；国籍,np
1557,province,省,np
1558,prefecture,专区,np
1559,county,县,np
1560,road,路,np
1561,lane,胡同，巷,np
1562,postal code,邮政编码,np
1563,office phone,办公电话,np
1564,mobile telephone,移动电话,np
1565,marital status,婚姻状况,np
1566,married,已婚,np
1567,divorced,离异,np
1568,number of children,子女人数,np
1569,health,健康状况,np
1570,short-sighted,近视,np
1571,education,学历,np
1572,graduate,毕业生,np
1573,commoner,自费生,np
1574,extern,走读生,np
1575,guest student,旁听生,np
1576,boarder,寄宿生,np
1577,undergraduate,大学肆业生,np
1578,graduate student,研究生,np
1579,bachelor,学士,np
1580,doctor,博士,np
1581,educational system,学制,np
1582,off-job training,脱产培训,np
1583,special training,特别训练,np
1584,courses taken,所学课程,np
1585,refresher course,进修课程,np
1586,minor,副修,np
1587,adaptable,适应性强的,np
1588,aggressive,有进取心的,np
1589,amiable,和蔼可亲的,np
1590,analytical,善于分析的,np
1591,candid,正直的,np
1592,diplomatic,老练的，有策略的,np
1593,disciplined,守纪律的,np
1594,modest,谦虚的,np
1595,precise,一丝不苟的,np
1596,frank,直率的，真诚的,np
1597,efficient,有效率的,np
1598,ingenious,有独创性的,np
1599,well-educated,受过良好教育的,np
1600,gentle,有礼貌的,np
1601,faithful,守信的，忠诚的,np
1602,occupational history,工作经历,np
1603,specific experience,具体经历,np
1604,adapted to,适应于,np
1605,second job,第二职业,np
1606,spouse,配偶,np
1607,husband,丈夫,np
1608,wife,妻子,np
1609,brother,兄弟,np
1610,younger brother,弟弟,np
1611,elder sister,姐姐,np
1612,twin,双胞胎的,np
1613,stepsister,异父(母)之姐妹,np
1614,brother-in-law,大伯，小叔，姐夫，妹夫,np
1615,child,孩子,np
1616,daughter,女儿,np
1617,stepdaughter,继女,np
1618,adopted daughter,养女,np
1619,son-in-law,女婿,np
1620,niece,侄女，外甥女,np
1621,parents,父母,np
1622,mothe,r母亲，妈妈,np
1623,stepmother,继母,np
1624,foster mother,养母,np
1625,mother-in-law,岳母，婆婆,np
1626,aunt,婶母，伯母，舅母，姑母,np
1627,grandfather,祖父,np
1628,grandpa,爷爷,np
1629,grandchildren,孙辈,np
1630,granddaughter,孙女，外孙女,np
1631,great-grandfather,曾祖父,np
1632,great-uncle,叔、伯祖父,np
1633,great-grandson,曾孙，曾外孙,np
1634,family,家庭,np
1635,relative,亲戚,np
1636,male,男的,np
1637,generation,代,np
1638,offspring,后代，后辈,np
1639,couple,夫妻,np
1640,ex-husband,前夫,np
1641,ex-wife,前妻,np
1642,elder brothe,哥哥,np
1643,sister,姐妹,np
1644,younger sister,妹妹,np
1645,stepbrother,异父(母)之兄弟,np
1646,cousin,堂兄妹，表兄妹,np
1647,sister-in-law,弟妹,np
1648,son,儿子,np
1649,stepson,继子,np
1650,adopted son,养子,np
1651,daughter-in-law,儿媳,np
1652,nephew,侄儿，外甥,np
1653,father,父亲,np
1654,dad,爸爸,np
1655,stepfather,继父,np
1656,foster father,养父,np
1657,father-in-law,岳父，公公,np
1658,uncle,叔父，伯父，舅父，姑父,np
1659,grandmother,祖母,np
1660,grandma,奶奶,np
1661,grandson,孙子,np
1662,great-grandmother,曾祖母,np
1663,great-aunt,叔、伯祖母,np
1664,great-granddaughter,曾孙女，曾外孙女,np
1665,marriage,婚姻,np
1666,female,女的,np
1667,descent,世系，血统,np
1668,ancestor,祖先,np
1669,heir,继承人,np
